date,open,high,low,close,volume,trades
2024-07-30 00:00:00+00:00,0.094,0.1244,0.0884,0.0968,404636.3606465844,3465
2024-07-31 00:00:00+00:00,0.0955,0.1045,0.0854,0.086,280727.2342828789,2413
2024-08-01 00:00:00+00:00,0.0861,0.0861,0.0763,0.0789,238073.9615213221,1847
2024-08-02 00:00:00+00:00,0.0778,0.0815,0.0654,0.0654,99617.716723542,794
2024-08-03 00:00:00+00:00,0.0657,0.0658,0.0534,0.0534,193842.17026216234,1566
2024-08-04 00:00:00+00:00,0.0531,0.0682,0.0518,0.0584,338196.8406235986,2530
2024-08-05 00:00:00+00:00,0.0581,0.0583,0.0396,0.0459,405266.4941976626,3099
2024-08-06 00:00:00+00:00,0.0459,0.0514,0.0454,0.0468,92754.43692699607,1151
2024-08-07 00:00:00+00:00,0.0468,0.0515,0.0411,0.0426,113252.73647722803,1044
2024-08-08 00:00:00+00:00,0.0421,0.0562,0.0413,0.0531,113470.03171137604,1004
2024-08-09 00:00:00+00:00,0.0527,0.0527,0.0468,0.0473,5519.276716855001,89
2024-08-10 00:00:00+00:00,0.049,0.0492,0.0453,0.0466,11397.122027195997,234
2024-08-11 00:00:00+00:00,0.047,0.0556,0.0454,0.0462,45046.57115112004,397
2024-08-12 00:00:00+00:00,0.0456,0.0499,0.0431,0.0479,76788.56964141407,412
2024-08-13 00:00:00+00:00,0.0479,0.0479,0.0446,0.0469,60147.45036445612,449
2024-08-14 00:00:00+00:00,0.0467,0.0537,0.0464,0.0508,73716.05809108414,641
2024-08-15 00:00:00+00:00,0.0517,0.0527,0.0415,0.0433,46836.87948180298,659
2024-08-16 00:00:00+00:00,0.043,0.047,0.0363,0.0468,101794.78832842785,920
2024-08-17 00:00:00+00:00,0.0464,0.0549,0.0452,0.0492,99188.92380564002,1182
2024-08-18 00:00:00+00:00,0.0489,0.0573,0.0475,0.0512,62480.34051942405,737
2024-08-19 00:00:00+00:00,0.0514,0.0549,0.0485,0.0509,31044.375840363035,353
2024-08-20 00:00:00+00:00,0.0505,0.054,0.0463,0.0469,24062.292694845994,318
2024-08-21 00:00:00+00:00,0.0473,0.0498,0.0454,0.0485,9717.801768345,141
2024-08-22 00:00:00+00:00,0.0485,0.0492,0.0459,0.0475,37426.22596302499,396
2024-08-23 00:00:00+00:00,0.0474,0.0564,0.0473,0.0527,53734.591808423975,600
2024-08-24 00:00:00+00:00,0.0527,0.0553,0.0499,0.0533,49855.02943180498,509
2024-08-25 00:00:00+00:00,0.0535,0.0581,0.0491,0.0556,113000.23821600805,1031
2024-08-26 00:00:00+00:00,0.0557,0.0565,0.0454,0.0454,25315.574315777994,383
2024-08-27 00:00:00+00:00,0.0455,0.0493,0.0378,0.0399,79559.54079704432,895
2024-08-28 00:00:00+00:00,0.0396,0.0424,0.0375,0.04,42816.06455439996,562
2024-08-29 00:00:00+00:00,0.0399,0.0433,0.0376,0.0377,22798.438594594023,406
2024-08-30 00:00:00+00:00,0.0375,0.0413,0.0353,0.0394,99087.87597084788,577
2024-08-31 00:00:00+00:00,0.0395,0.0401,0.037,0.0372,39944.59484622,457
2024-09-01 00:00:00+00:00,0.0375,0.0404,0.0363,0.0372,94687.910017812,669
2024-09-02 00:00:00+00:00,0.0371,0.0391,0.0371,0.0388,17632.115628628,589
2024-09-03 00:00:00+00:00,0.0387,0.0418,0.0371,0.038,4879.4810563599995,180
2024-09-04 00:00:00+00:00,0.0373,0.0401,0.0371,0.0396,65925.48621265199,797
2024-09-05 00:00:00+00:00,0.0394,0.041,0.0382,0.0386,12202.923307472009,268
2024-09-06 00:00:00+00:00,0.0383,0.0423,0.0383,0.0406,11288.098295432,188
2024-09-07 00:00:00+00:00,0.0407,0.0458,0.0397,0.0444,13494.589233780014,155
2024-09-08 00:00:00+00:00,0.0443,0.0445,0.0414,0.0429,4103.216774943,66
2024-09-09 00:00:00+00:00,0.044,0.0498,0.043,0.0468,19686.501776915997,272
2024-09-10 00:00:00+00:00,0.0475,0.0522,0.0462,0.0505,33476.18966239999,688
2024-09-11 00:00:00+00:00,0.049,0.0519,0.0471,0.0492,10324.370009388,199
2024-09-12 00:00:00+00:00,0.0507,0.0536,0.0485,0.0496,9287.711786992004,230
2024-09-13 00:00:00+00:00,0.0495,0.0502,0.047,0.0474,6290.845079862,88
2024-09-14 00:00:00+00:00,0.0478,0.049,0.0443,0.0443,3176.014128717,72
2024-09-15 00:00:00+00:00,0.0459,0.0474,0.0435,0.0435,1880.83544775,77
2024-09-16 00:00:00+00:00,0.0433,0.0441,0.0372,0.0423,15662.08664557199,354
2024-09-17 00:00:00+00:00,0.0427,0.047,0.0421,0.0454,9464.218902468,129
2024-09-18 00:00:00+00:00,0.0449,0.0468,0.0419,0.0447,9082.20627795,106
2024-09-19 00:00:00+00:00,0.0446,0.049,0.0446,0.0464,19887.674408175993,251
2024-09-20 00:00:00+00:00,0.046,0.051,0.0448,0.0505,34984.68925594,299
2024-09-21 00:00:00+00:00,0.0502,0.054,0.0485,0.0534,14476.738677281997,201
2024-09-22 00:00:00+00:00,0.054,0.0544,0.0509,0.0523,15810.43753306999,331
2024-09-23 00:00:00+00:00,0.0523,0.0569,0.0518,0.0535,26407.159778994996,614
2024-09-24 00:00:00+00:00,0.053,0.0547,0.0507,0.0542,39159.102338936005,172
2024-09-25 00:00:00+00:00,0.054,0.067,0.0534,0.0646,75934.10507198598,574
2024-09-26 00:00:00+00:00,0.066,0.0782,0.066,0.0701,69764.40588174005,450
2024-09-27 00:00:00+00:00,0.071,0.0771,0.0685,0.0687,28468.086938625005,621
2024-09-28 00:00:00+00:00,0.0685,0.0698,0.0604,0.0611,8783.50796869,165
2024-09-29 00:00:00+00:00,0.0621,0.0635,0.0574,0.0582,7721.284858121993,191
2024-09-30 00:00:00+00:00,0.058,0.0611,0.0555,0.0555,14980.631981279988,142
2024-10-01 00:00:00+00:00,0.0566,0.0586,0.0494,0.0518,12069.18071713198,257
2024-10-02 00:00:00+00:00,0.0518,0.0557,0.0518,0.0526,94554.281406442,1252
2024-10-03 00:00:00+00:00,0.0537,0.0551,0.051,0.053,22588.317049430014,476
2024-10-04 00:00:00+00:00,0.0532,0.0602,0.0521,0.0575,5457.3207156749995,199
2024-10-05 00:00:00+00:00,0.0563,0.0602,0.0536,0.0577,5300.823126808,134
