date,open,high,low,close,volume,trades
2022-04-01 00:00:00+00:00,8.998,9.0,5.789,6.79,8404.1974855755,64
2022-04-02 00:00:00+00:00,6.789,7.095,5.943,5.948,18553.30675006556,113
2022-04-03 00:00:00+00:00,5.978,6.168,5.877,5.9,4885.682417453,22
2022-04-04 00:00:00+00:00,5.981,5.981,5.373,5.629,10953.47039997756,38
2022-04-05 00:00:00+00:00,5.684,5.85,5.333,5.374,1941.9751393552199,24
2022-04-06 00:00:00+00:00,5.127,5.271,4.65,4.658,15188.338787339302,21
2022-04-07 00:00:00+00:00,4.51,4.743,4.444,4.693,9769.76089910561,15
2022-04-08 00:00:00+00:00,4.767,4.767,4.444,4.444,235.59724565256,6
2022-04-09 00:00:00+00:00,4.512,4.606,4.512,4.593,948.3513531617999,8
2022-04-10 00:00:00+00:00,4.624,4.683,4.515,4.683,214.05730752,4
2022-04-11 00:00:00+00:00,4.44,4.442,3.984,3.984,1444.58268559008,20
2022-04-12 00:00:00+00:00,3.993,4.266,3.993,4.252,1870.1345682310798,17
2022-04-13 00:00:00+00:00,4.248,4.426,4.178,4.349,1120.62886494783,14
2022-04-14 00:00:00+00:00,4.403,4.409,4.194,4.194,4765.92845232708,14
2022-04-15 00:00:00+00:00,4.261,4.386,4.261,4.34,5101.275827529,16
2022-04-16 00:00:00+00:00,4.393,4.393,4.164,4.164,279.34548089903996,6
2022-04-17 00:00:00+00:00,4.276,4.466,4.137,4.137,937.3137228674099,18
2022-04-18 00:00:00+00:00,4.185,4.274,3.92,4.274,4777.663715308479,19
2022-04-19 00:00:00+00:00,4.243,4.518,4.243,4.516,4448.889551851,19
2022-04-20 00:00:00+00:00,4.434,4.583,4.434,4.494,3387.1051285789194,13
2022-04-21 00:00:00+00:00,4.502,4.623,4.175,4.175,641.04631794375,16
2022-04-22 00:00:00+00:00,4.263,4.317,4.195,4.286,2329.5202895856196,12
2022-04-23 00:00:00+00:00,4.149,4.256,4.149,4.246,5292.055507928861,10
2022-04-24 00:00:00+00:00,4.07,4.07,4.0,4.044,1185.6369717686398,5
2022-04-25 00:00:00+00:00,3.962,4.138,3.825,4.129,2201.68323156634,16
2022-04-26 00:00:00+00:00,4.067,4.067,3.798,3.853,507.90114377667004,5
2022-04-27 00:00:00+00:00,3.902,4.266,3.902,4.266,3308.00589348066,31
2022-04-28 00:00:00+00:00,4.295,4.918,4.294,4.733,25012.940705206198,132
2022-04-29 00:00:00+00:00,4.741,4.832,4.02,4.032,21625.77364041024,58
2022-04-30 00:00:00+00:00,4.175,4.492,3.719,3.719,12872.546659297848,54
2022-05-01 00:00:00+00:00,3.696,3.916,3.696,3.8,5532.46390824,14
2022-05-02 00:00:00+00:00,3.999,4.001,3.739,3.773,1352.3684187013,12
2022-05-03 00:00:00+00:00,3.969,3.976,3.711,3.724,4228.1329810062,13
