date,open,high,low,close,volume,trades
2024-05-30 16:00:00+00:00,0.88,0.891,0.88,0.891,20.02,2
2024-05-30 20:00:00+00:00,0.871,0.871,0.871,0.871,182.21584,2
2024-05-31 04:00:00+00:00,0.871,0.871,0.87,0.87,520.0,5
2024-05-31 12:00:00+00:00,0.892,0.901,0.879,0.901,683.61112,4
2024-05-31 16:00:00+00:00,0.89,0.909,0.8781,0.8781,3488.79603,6
2024-05-31 20:00:00+00:00,0.893,0.893,0.893,0.893,30.81391,1
2024-06-01 12:00:00+00:00,0.894,0.894,0.894,0.894,2755.7214,33
2024-06-01 16:00:00+00:00,0.893,0.903,0.884,0.891,2294.4474,7
2024-06-01 20:00:00+00:00,0.897,0.911,0.894,0.91,1784.61466,16
2024-06-02 00:00:00+00:00,0.908,0.93,0.908,0.93,81.29648,3
2024-06-02 04:00:00+00:00,0.922,0.9648,0.922,0.941,8484.057,36
2024-06-02 08:00:00+00:00,0.943,1.3092,0.932,0.992,4883.48077,63
2024-06-02 12:00:00+00:00,0.9859,1.0479,0.962,1.021,18178.72061,91
2024-06-02 16:00:00+00:00,1.0191,1.18,1.009,1.0947,41594.36476,352
2024-06-02 20:00:00+00:00,1.0898,1.093,1.018,1.064,29482.98228,153
2024-06-03 00:00:00+00:00,1.048,1.071,0.98,1.055,16602.06435,100
2024-06-03 04:00:00+00:00,1.0611,1.093,1.0,1.0,14493.16541,90
2024-06-03 08:00:00+00:00,1.013,1.019,0.974,0.975,8730.69111,56
2024-06-03 12:00:00+00:00,0.98,1.01,0.957,0.9891,11579.39734,49
2024-06-03 16:00:00+00:00,0.9851,0.99,0.973,0.976,5054.3748,25
2024-06-03 20:00:00+00:00,0.985,0.996,0.9644,0.971,1799.10873,17
2024-06-04 00:00:00+00:00,0.976,1.019,0.976,1.019,2763.93702,34
2024-06-04 04:00:00+00:00,1.0012,1.0012,0.9456,0.9456,9804.85636,67
2024-06-04 08:00:00+00:00,0.9456,1.0018,0.9389,0.945,16985.93718,51
2024-06-04 12:00:00+00:00,0.9441,0.9735,0.939,0.955,5086.03696,28
2024-06-04 16:00:00+00:00,0.962,0.969,0.948,0.957,6370.64469,21
2024-06-04 20:00:00+00:00,0.9594,0.973,0.951,0.961,1947.92487,15
2024-06-05 00:00:00+00:00,0.9671,0.9709,0.954,0.959,1158.82171,12
2024-06-05 04:00:00+00:00,0.957,0.967,0.9541,0.967,1069.0038,3
2024-06-05 08:00:00+00:00,0.966,0.9907,0.966,0.97,761.08835,9
2024-06-05 12:00:00+00:00,0.9711,0.983,0.963,0.9651,3310.0744,13
2024-06-05 16:00:00+00:00,0.9907,0.9907,0.974,0.976,1021.61809,7
2024-06-05 20:00:00+00:00,0.977,0.977,0.977,0.977,4.6904,1
2024-06-06 00:00:00+00:00,0.9837,0.9915,0.9837,0.9915,797.46199,17
2024-06-06 04:00:00+00:00,0.996,0.996,0.996,0.996,501.57938,1
2024-06-06 08:00:00+00:00,0.987,0.999,0.973,0.973,3603.32259,12
2024-06-06 12:00:00+00:00,0.9939,1.0009,0.9761,0.998,3133.81674,11
2024-06-06 16:00:00+00:00,0.996,1.0139,0.9771,0.9771,32248.89779,199
2024-06-06 20:00:00+00:00,0.9762,1.0288,0.9754,1.0,8873.05463,44
2024-06-07 00:00:00+00:00,1.0175,1.077,0.985,0.989,3204.26441,35
2024-06-07 04:00:00+00:00,1.0032,1.0137,0.99,0.991,765.31547,12
2024-06-07 08:00:00+00:00,1.004,1.011,0.9747,0.9747,748.31909,15
2024-06-07 12:00:00+00:00,0.9723,0.988,0.9451,0.9552,1718.99099,34
2024-06-07 16:00:00+00:00,0.9748,0.9907,0.749,0.8236,38538.19055,157
2024-06-07 20:00:00+00:00,0.8249,0.8533,0.7957,0.832,7849.54557,35
2024-06-08 00:00:00+00:00,0.8295,0.878,0.8295,0.861,11244.39419,30
2024-06-08 04:00:00+00:00,0.841,0.8479,0.827,0.8449,5380.23883,15
2024-06-08 08:00:00+00:00,0.8439,0.8499,0.8123,0.8123,846.8504,10
2024-06-08 12:00:00+00:00,0.8139,0.8449,0.7921,0.8193,3437.09119,20
2024-06-08 16:00:00+00:00,0.8141,0.8141,0.7901,0.7901,1193.39357,8
2024-06-08 20:00:00+00:00,0.7986,0.8069,0.7899,0.801,1435.93454,9
