date,open,high,low,close,volume,trades
2024-01-01 00:00:00+00:00,1.993,1.993,1.889,1.889,9442.77677678,81
2024-01-01 04:00:00+00:00,1.898,1.899,1.872,1.899,5341.4338408,31
2024-01-01 08:00:00+00:00,1.89,1.89,1.878,1.878,244.98039301,8
2024-01-01 12:00:00+00:00,1.883,1.888,1.867,1.888,2021.96860311,22
2024-01-01 16:00:00+00:00,1.894,2.089,1.894,2.005,20728.67510829,279
2024-01-01 20:00:00+00:00,2.005,2.05,1.967,1.967,72874.8038870899,321
2024-01-02 00:00:00+00:00,1.986,2.046,1.96,2.043,6489.28402394,76
2024-01-02 04:00:00+00:00,2.03,2.065,2.008,2.038,11027.71017492,105
2024-01-02 08:00:00+00:00,2.026,2.049,1.993,1.993,4090.77215922,127
2024-01-02 12:00:00+00:00,2.015,2.045,1.956,1.966,11980.63331772,184
2024-01-02 16:00:00+00:00,1.981,2.008,1.971,2.001,5404.74265749,58
2024-01-02 20:00:00+00:00,1.991,1.991,1.944,1.97,6926.60837203,41
2024-01-03 00:00:00+00:00,1.971,2.043,1.971,2.036,4216.36686309,91
2024-01-03 04:00:00+00:00,2.036,2.036,2.008,2.01,2883.20511479,29
2024-01-03 08:00:00+00:00,2.027,2.07,2.015,2.015,4001.98248393,73
2024-01-03 12:00:00+00:00,2.01,2.01,1.761,1.844,32988.2372541,348
2024-01-03 16:00:00+00:00,1.846,1.848,1.781,1.822,4913.05368276,56
2024-01-03 20:00:00+00:00,1.821,1.835,1.797,1.797,990.37642757,31
2024-01-04 00:00:00+00:00,1.812,1.826,1.772,1.816,2309.32791592,42
2024-01-04 04:00:00+00:00,1.814,1.916,1.814,1.869,20047.40007397,263
2024-01-04 08:00:00+00:00,1.867,1.867,1.827,1.854,3381.97063627,37
2024-01-04 12:00:00+00:00,1.862,1.862,1.829,1.852,770.50738492,22
2024-01-04 16:00:00+00:00,1.845,1.845,1.812,1.817,3857.65801045,31
2024-01-04 20:00:00+00:00,1.823,1.842,1.809,1.827,970.39129876,21
2024-01-05 00:00:00+00:00,1.832,1.852,1.759,1.797,8182.46735621,141
2024-01-05 04:00:00+00:00,1.791,1.791,1.765,1.765,2406.2326759,27
2024-01-05 08:00:00+00:00,1.761,1.776,1.725,1.725,4227.80202829,57
2024-01-05 12:00:00+00:00,1.725,1.745,1.687,1.695,9953.26976403,103
2024-01-05 16:00:00+00:00,1.705,1.705,1.654,1.662,3037.39193071,75
2024-01-05 20:00:00+00:00,1.666,1.809,1.662,1.706,16622.00686356,229
2024-01-06 00:00:00+00:00,1.706,1.706,1.681,1.687,749.05770789,12
2024-01-06 04:00:00+00:00,1.69,1.69,1.581,1.621,6955.96853363,135
2024-01-06 08:00:00+00:00,1.621,1.639,1.617,1.63,662.74706267,18
2024-01-06 12:00:00+00:00,1.633,1.664,1.616,1.655,2011.19364879,50
2024-01-06 16:00:00+00:00,1.65,1.672,1.636,1.637,1116.46889896,40
2024-01-06 20:00:00+00:00,1.642,1.772,1.617,1.647,5217.32348427,139
2024-01-07 00:00:00+00:00,1.647,1.673,1.647,1.651,1357.06587084,42
2024-01-07 04:00:00+00:00,1.658,1.685,1.658,1.674,670.49762327,37
2024-01-07 08:00:00+00:00,1.675,1.682,1.641,1.648,458.3000977,25
2024-01-07 12:00:00+00:00,1.648,1.648,1.587,1.598,1438.27791962,48
2024-01-07 16:00:00+00:00,1.599,1.645,1.581,1.617,2741.63292038,114
2024-01-07 20:00:00+00:00,1.617,1.623,1.538,1.539,3145.52589886,144
2024-01-08 00:00:00+00:00,1.55,1.552,1.436,1.476,8129.91362979,240
2024-01-08 04:00:00+00:00,1.476,1.531,1.476,1.504,2488.7737752,61
2024-01-08 08:00:00+00:00,1.519,1.531,1.519,1.531,241.75316079,7
2024-01-08 12:00:00+00:00,1.536,1.594,1.536,1.585,6665.33273703,144
2024-01-08 16:00:00+00:00,1.579,1.621,1.568,1.621,3331.90288644,41
2024-01-08 20:00:00+00:00,1.621,1.63,1.601,1.621,505.41706405,17
2024-01-09 00:00:00+00:00,1.617,1.623,1.59,1.611,2195.45423693,45
2024-01-09 04:00:00+00:00,1.62,1.621,1.598,1.598,234.28719629,8
2024-01-09 08:00:00+00:00,1.59,1.59,1.553,1.567,2601.06469083,58
2024-01-09 12:00:00+00:00,1.564,1.566,1.505,1.514,4115.74524151,135
2024-01-09 16:00:00+00:00,1.516,1.531,1.478,1.495,5002.3657999,118
2024-01-09 20:00:00+00:00,1.495,1.544,1.464,1.531,5712.87156027,182
2024-01-10 00:00:00+00:00,1.54,1.572,1.539,1.558,2621.95972243,59
2024-01-10 04:00:00+00:00,1.57,1.594,1.546,1.546,3514.68481507,89
2024-01-10 08:00:00+00:00,1.546,1.587,1.533,1.581,3276.67580304,74
2024-01-10 12:00:00+00:00,1.57,1.57,1.509,1.57,8720.29739459,137
2024-01-10 16:00:00+00:00,1.57,1.594,1.554,1.588,2383.70452584,52
2024-01-10 20:00:00+00:00,1.588,1.711,1.547,1.687,14905.30672058,198
2024-01-11 00:00:00+00:00,1.681,1.711,1.677,1.711,2962.85946192,50
2024-01-11 04:00:00+00:00,1.712,1.715,1.668,1.691,19429.14795256,92
2024-01-11 08:00:00+00:00,1.691,1.721,1.687,1.721,10779.37700478,39
2024-01-11 12:00:00+00:00,1.725,1.753,1.687,1.705,10758.95991628,110
2024-01-11 16:00:00+00:00,1.705,1.721,1.662,1.711,3536.27290942,86
2024-01-11 20:00:00+00:00,1.725,1.731,1.691,1.719,2816.72510523,48
2024-01-12 00:00:00+00:00,1.721,1.731,1.697,1.714,2900.10137605,54
2024-01-12 04:00:00+00:00,1.714,1.754,1.712,1.721,4918.29935828,74
2024-01-12 08:00:00+00:00,1.721,1.755,1.701,1.755,1715.97100454,39
2024-01-12 12:00:00+00:00,1.76,1.776,1.685,1.693,4789.83245798,93
2024-01-12 16:00:00+00:00,1.705,1.711,1.616,1.685,5040.78068742,107
2024-01-12 20:00:00+00:00,1.691,1.703,1.608,1.656,4491.35137611,115
2024-01-13 00:00:00+00:00,1.665,1.668,1.598,1.624,2995.69137658,85
2024-01-13 04:00:00+00:00,1.629,1.694,1.629,1.667,2292.31123434,55
2024-01-13 08:00:00+00:00,1.662,1.676,1.651,1.653,2682.05339491,35
2024-01-13 12:00:00+00:00,1.66,1.682,1.645,1.682,2305.53954703,37
2024-01-13 16:00:00+00:00,1.678,1.707,1.663,1.707,5214.87762723,52
2024-01-13 20:00:00+00:00,1.695,1.699,1.687,1.687,2220.98110805,26
2024-01-14 00:00:00+00:00,1.687,1.694,1.668,1.676,1670.5805273,28
2024-01-14 04:00:00+00:00,1.669,1.691,1.662,1.68,1393.82328034,26
2024-01-14 08:00:00+00:00,1.684,1.689,1.672,1.681,2027.28576453,26
2024-01-14 12:00:00+00:00,1.681,1.701,1.681,1.689,2189.17075099,36
2024-01-14 16:00:00+00:00,1.695,1.695,1.644,1.644,1127.57111665,37
2024-01-14 20:00:00+00:00,1.644,1.676,1.633,1.641,4981.96664964,85
2024-01-15 00:00:00+00:00,1.642,1.691,1.641,1.683,3183.31267403,48
2024-01-15 04:00:00+00:00,1.677,1.695,1.667,1.671,4849.2328943,51
2024-01-15 08:00:00+00:00,1.672,1.672,1.651,1.668,60883.12671612,105
2024-01-15 12:00:00+00:00,1.672,1.705,1.648,1.653,5605.89650171,74
2024-01-15 16:00:00+00:00,1.665,1.721,1.665,1.71,6688.63932905,93
2024-01-15 20:00:00+00:00,1.715,1.715,1.685,1.697,4505.81821716,44
2024-01-16 00:00:00+00:00,1.693,1.711,1.687,1.711,3718.54723766,52
2024-01-16 04:00:00+00:00,1.715,1.721,1.707,1.72,2085.2088235,24
2024-01-16 08:00:00+00:00,1.715,1.741,1.711,1.717,6224.19910515,66
2024-01-16 12:00:00+00:00,1.72,1.72,1.675,1.715,8807.46959687,48
2024-01-16 16:00:00+00:00,1.715,1.725,1.7,1.709,6160.59469267,22
2024-01-16 20:00:00+00:00,1.715,1.731,1.715,1.717,7066.29616478,23
2024-01-17 00:00:00+00:00,1.719,1.722,1.719,1.722,1372.61807871,3
2024-01-17 04:00:00+00:00,1.711,1.711,1.681,1.681,694.33123273,16
2024-01-17 08:00:00+00:00,1.677,1.715,1.66,1.715,2978.10405958,41
2024-01-17 12:00:00+00:00,1.721,1.731,1.701,1.701,747.65040797,25
2024-01-17 16:00:00+00:00,1.7,1.71,1.675,1.704,2007.14176614,37
2024-01-17 20:00:00+00:00,1.711,1.711,1.687,1.701,2052.90799712,20
2024-01-18 00:00:00+00:00,1.705,1.724,1.677,1.677,889.44373267,29
2024-01-18 04:00:00+00:00,1.684,1.724,1.68,1.714,7590.86285671,31
2024-01-18 08:00:00+00:00,1.711,1.738,1.658,1.658,2467.73363672,73
2024-01-18 12:00:00+00:00,1.653,1.653,1.633,1.633,3946.40584049,20
2024-01-18 16:00:00+00:00,1.627,1.627,1.554,1.554,4289.5450989,84
2024-01-18 20:00:00+00:00,1.567,1.587,1.566,1.581,2749.17956813,26
2024-01-19 00:00:00+00:00,1.589,1.589,1.545,1.569,2063.03641559,55
2024-01-19 04:00:00+00:00,1.575,1.587,1.575,1.575,343.49572648,16
2024-01-19 08:00:00+00:00,1.573,1.594,1.571,1.594,471.03866118,15
2024-01-19 12:00:00+00:00,1.593,1.611,1.562,1.57,594.28078444,25
2024-01-19 16:00:00+00:00,1.556,1.588,1.508,1.588,1946.74272302,66
2024-01-19 20:00:00+00:00,1.59,1.705,1.59,1.666,5001.20139321,104
2024-01-20 00:00:00+00:00,1.662,3.001,1.651,2.452,226341.8123422997,3282
2024-01-20 04:00:00+00:00,2.453,2.895,2.356,2.764,90215.6782638299,2343
2024-01-20 08:00:00+00:00,2.759,3.3,2.605,2.717,219191.8452187,4770
2024-01-20 12:00:00+00:00,2.716,3.415,2.607,2.94,191117.7136873601,3428
2024-01-20 16:00:00+00:00,2.945,2.945,2.94,2.94,394.33592773,6
2024-01-20 20:00:00+00:00,2.953,3.0,2.55,2.707,17362.61656453,390
2024-01-21 00:00:00+00:00,2.76,2.95,2.46,2.48,44109.51743666,569
2024-01-21 04:00:00+00:00,2.471,2.634,2.444,2.508,28717.51403717,584
2024-01-21 08:00:00+00:00,2.508,2.812,2.508,2.701,36812.60830522,682
2024-01-21 12:00:00+00:00,2.703,2.8,2.565,2.588,24493.09330215,519
2024-01-21 16:00:00+00:00,2.588,2.687,2.445,2.454,12489.00808107,258
2024-01-21 20:00:00+00:00,2.445,2.497,2.42,2.441,12241.91287565,219
2024-01-22 00:00:00+00:00,2.458,2.542,2.25,2.327,23415.96609912,294
2024-01-22 04:00:00+00:00,2.322,2.341,2.292,2.301,30658.96447676,183
2024-01-22 08:00:00+00:00,2.301,2.301,2.2,2.221,13731.38907193,242
2024-01-22 12:00:00+00:00,2.222,2.299,2.19,2.274,14095.87229668,169
2024-01-22 16:00:00+00:00,2.26,2.371,2.26,2.341,51223.47764525,508
2024-01-22 20:00:00+00:00,2.329,2.399,2.325,2.358,21107.99719729,146
2024-01-23 00:00:00+00:00,2.351,2.543,2.26,2.377,60632.26838284,481
2024-01-23 04:00:00+00:00,2.364,2.476,2.286,2.384,23564.05820843,278
2024-01-23 08:00:00+00:00,2.391,2.391,2.116,2.116,26040.02843209,282
2024-01-23 12:00:00+00:00,2.13,2.169,2.072,2.163,7538.94330719,115
2024-01-23 16:00:00+00:00,2.156,2.266,2.141,2.141,5711.04907654,118
2024-01-23 20:00:00+00:00,2.15,2.191,2.129,2.191,2140.93674259,37
2024-01-24 00:00:00+00:00,2.18,2.229,2.153,2.153,6503.05252011,63
2024-01-24 04:00:00+00:00,2.16,2.16,2.114,2.126,6430.92660713,55
2024-01-24 08:00:00+00:00,2.126,2.156,2.096,2.116,6811.7544573,66
2024-01-24 12:00:00+00:00,2.102,2.132,2.078,2.095,6219.15109914,64
2024-01-24 16:00:00+00:00,2.083,2.089,2.039,2.05,10370.29951809,88
2024-01-24 20:00:00+00:00,2.065,2.085,2.043,2.082,8935.61496705,49
2024-01-25 00:00:00+00:00,2.087,2.156,2.084,2.094,3703.00922999,96
2024-01-25 04:00:00+00:00,2.094,2.112,2.05,2.05,6038.18777524,53
2024-01-25 08:00:00+00:00,2.051,2.051,2.019,2.024,5562.21990732,68
2024-01-25 12:00:00+00:00,2.027,2.027,1.977,1.988,3879.45991376,68
2024-01-25 16:00:00+00:00,1.981,2.007,1.96,1.994,2945.58894949,50
2024-01-25 20:00:00+00:00,2.003,2.038,2.003,2.018,835.15029819,25
2024-01-26 00:00:00+00:00,2.029,2.055,2.01,2.037,5352.79047515,51
2024-01-26 04:00:00+00:00,2.039,2.076,1.999,2.057,7087.2688507,104
2024-01-26 08:00:00+00:00,2.057,2.095,2.043,2.087,11779.71501685,80
2024-01-26 12:00:00+00:00,2.086,2.094,2.048,2.061,4497.1611085,39
2024-01-26 16:00:00+00:00,2.068,2.075,2.04,2.075,5230.71230875,51
2024-01-26 20:00:00+00:00,2.073,2.099,2.054,2.082,2131.8479445,35
2024-01-27 00:00:00+00:00,2.086,2.101,2.054,2.054,4587.73733588,39
2024-01-27 04:00:00+00:00,2.062,2.075,2.007,2.019,10847.89972055,75
2024-01-27 08:00:00+00:00,2.023,2.053,1.996,2.003,7712.97347106,69
2024-01-27 12:00:00+00:00,2.006,2.029,2.006,2.027,856.92024416,16
2024-01-27 16:00:00+00:00,2.036,2.464,2.036,2.438,56607.65080523,807
2024-01-27 20:00:00+00:00,2.429,3.137,2.39,2.994,65708.6096993799,1570
2024-01-28 00:00:00+00:00,2.993,3.067,2.801,2.823,31559.08774338,658
