date,open,high,low,close,volume,trades
2024-01-01 00:00:00+00:00,4.29,4.32,4.24,4.24,127.24778269,8
2024-01-01 04:00:00+00:00,4.23,4.24,4.23,4.24,32.81532811,2
2024-01-01 08:00:00+00:00,4.26,4.37,4.26,4.36,2047.59565295,15
2024-01-01 12:00:00+00:00,4.35,4.49,4.34,4.49,345.03376702,23
2024-01-01 16:00:00+00:00,4.51,4.58,4.49,4.55,1751.04816466,14
2024-01-01 20:00:00+00:00,4.56,4.56,4.51,4.55,2807.71484437,16
2024-01-02 00:00:00+00:00,4.57,4.6,4.54,4.59,233.32719253,8
2024-01-02 04:00:00+00:00,4.59,4.61,4.57,4.61,817.49168157,31
2024-01-02 08:00:00+00:00,4.65,4.65,4.6,4.6,215.55248042,6
2024-01-02 12:00:00+00:00,4.57,4.57,4.46,4.49,1640.67852695,17
2024-01-02 16:00:00+00:00,4.49,4.49,4.44,4.47,288.15069965,12
2024-01-02 20:00:00+00:00,4.49,4.56,4.49,4.53,1099.95727963,11
2024-01-03 00:00:00+00:00,4.57,4.57,4.53,4.53,1664.20099432,22
2024-01-03 04:00:00+00:00,4.54,4.59,4.53,4.59,1540.71032046,8
2024-01-03 08:00:00+00:00,4.56,4.57,4.39,4.43,621.23674924,8
2024-01-03 12:00:00+00:00,4.41,4.41,3.59,4.11,8324.28085244,147
2024-01-03 16:00:00+00:00,4.14,4.14,3.98,4.02,1549.66079546,22
2024-01-03 20:00:00+00:00,4.05,4.05,4.01,4.03,407.46368751,10
2024-01-04 00:00:00+00:00,4.04,4.08,3.99,4.08,350.08281335,9
2024-01-04 04:00:00+00:00,4.12,4.16,4.12,4.15,168.62423893,6
2024-01-04 08:00:00+00:00,4.09,4.13,4.09,4.13,164.04487502,5
2024-01-04 12:00:00+00:00,4.12,4.22,4.12,4.22,3826.6712001,20
2024-01-04 16:00:00+00:00,4.25,4.26,4.22,4.25,1388.43368363,14
2024-01-04 20:00:00+00:00,4.27,4.27,4.22,4.22,1165.2845575,5
2024-01-05 00:00:00+00:00,4.13,4.17,4.08,4.17,128.08613509,7
2024-01-05 04:00:00+00:00,4.18,4.18,4.16,4.16,29.1724188,4
2024-01-05 08:00:00+00:00,4.14,4.19,4.14,4.16,92.47211066,6
2024-01-05 12:00:00+00:00,4.15,4.15,4.08,4.08,1794.9775552,11
2024-01-05 16:00:00+00:00,4.09,4.09,4.0,4.05,2119.59152035,17
2024-01-05 20:00:00+00:00,4.07,4.07,4.06,4.06,1948.04478424,7
2024-01-06 00:00:00+00:00,4.12,4.12,4.07,4.07,12.24153216,4
2024-01-06 04:00:00+00:00,4.06,4.06,3.93,3.96,4301.67397104,26
2024-01-06 08:00:00+00:00,3.95,4.0,3.95,3.98,76.22279964,6
2024-01-06 12:00:00+00:00,4.01,4.06,3.97,4.05,134.37960846,17
2024-01-06 16:00:00+00:00,4.05,4.05,3.98,3.98,528.74430926,9
2024-01-06 20:00:00+00:00,3.96,3.97,3.96,3.97,13.70767268,3
2024-01-07 00:00:00+00:00,3.96,4.0,3.96,4.0,51.93580128,4
2024-01-07 04:00:00+00:00,4.0,4.02,4.0,4.02,19.56140996,3
2024-01-07 08:00:00+00:00,4.01,4.02,3.95,3.96,61.34750663,8
2024-01-07 12:00:00+00:00,3.94,3.94,3.9,3.9,1998.06726079,8
2024-01-07 16:00:00+00:00,3.93,3.93,3.91,3.91,6.59095687,3
