date,open,high,low,close,volume,trades
2024-01-01 00:00:00+00:00,259.62,262.78,257.74,258.21,319.88349722,227
2024-01-01 04:00:00+00:00,258.33,269.49,255.9,266.31,1428.03091439,451
2024-01-01 08:00:00+00:00,264.61,265.96,262.03,263.28,117.77433718,119
2024-01-01 12:00:00+00:00,264.37,266.51,262.29,264.24,139.20823913,105
2024-01-01 16:00:00+00:00,263.35,267.19,261.54,266.96,676.58542688,255
2024-01-01 20:00:00+00:00,267.19,267.5,264.31,267.5,876.06785629,318
2024-01-02 00:00:00+00:00,267.74,270.85,264.97,266.59,908.54449721,467
2024-01-02 04:00:00+00:00,266.69,268.86,266.18,266.18,602.1926644,199
2024-01-02 08:00:00+00:00,266.54,269.48,262.23,262.78,984.96697303,411
2024-01-02 12:00:00+00:00,262.73,264.34,256.75,258.1,546.1539189,323
2024-01-02 16:00:00+00:00,258.56,259.07,255.81,257.5,796.11650345,389
2024-01-02 20:00:00+00:00,257.16,258.66,254.27,256.86,449.16588636,336
2024-01-03 00:00:00+00:00,257.1,259.2,255.57,258.51,242.84580736,314
2024-01-03 04:00:00+00:00,258.6,268.04,258.55,261.27,2423.29906051,811
2024-01-03 08:00:00+00:00,262.58,264.77,244.26,250.36,3746.51288137,1111
2024-01-03 12:00:00+00:00,250.45,250.45,217.92,236.07,5842.7496492401,2345
2024-01-03 16:00:00+00:00,235.58,237.2,230.68,232.37,916.93703272,499
2024-01-03 20:00:00+00:00,232.67,235.09,232.58,234.23,888.42719777,253
2024-01-04 00:00:00+00:00,234.27,238.05,232.6,236.32,1302.31836902,403
2024-01-04 04:00:00+00:00,236.48,237.9,234.56,234.56,254.98570429,246
2024-01-04 08:00:00+00:00,234.72,236.32,232.75,235.81,64.26656234,236
2024-01-04 12:00:00+00:00,235.88,239.3,234.76,238.96,422.42320928,382
2024-01-04 16:00:00+00:00,238.66,238.79,236.12,237.15,342.52298399,318
2024-01-04 20:00:00+00:00,236.99,240.24,236.94,239.79,359.09272214,324
2024-01-05 00:00:00+00:00,239.84,240.02,227.18,235.45,1022.46239825,676
2024-01-05 04:00:00+00:00,235.37,236.6,233.89,234.19,247.5924828,195
2024-01-05 08:00:00+00:00,234.43,236.5,230.96,232.4,921.07135018,374
2024-01-05 12:00:00+00:00,232.25,234.99,230.11,233.07,485.92329046,452
2024-01-05 16:00:00+00:00,233.19,235.64,230.68,235.38,163.67000568,307
2024-01-05 20:00:00+00:00,235.5,242.17,233.77,239.44,1308.80000452,605
2024-01-06 00:00:00+00:00,239.38,243.49,238.44,242.78,714.92600033,453
2024-01-06 04:00:00+00:00,241.9,242.75,231.2,235.23,844.45490394,484
2024-01-06 08:00:00+00:00,235.24,236.67,234.59,235.81,58.3261118,127
2024-01-06 12:00:00+00:00,235.59,236.46,234.92,236.1,58.27600813,152
2024-01-06 16:00:00+00:00,235.98,238.04,235.41,238.04,119.17413906,210
2024-01-06 20:00:00+00:00,237.92,238.03,234.44,236.07,93.97227283,171
2024-01-07 00:00:00+00:00,236.24,237.87,235.11,235.83,88.8329324,205
2024-01-07 04:00:00+00:00,235.94,238.05,235.84,238.05,97.36408659,196
2024-01-07 08:00:00+00:00,238.05,239.86,235.16,235.67,43.35069806,173
2024-01-07 12:00:00+00:00,235.78,239.9,235.55,237.28,212.67903342,249
2024-01-07 16:00:00+00:00,236.73,237.97,233.3,236.44,372.66078399,302
2024-01-07 20:00:00+00:00,236.64,237.18,230.0,232.28,262.43558067,275
2024-01-08 00:00:00+00:00,232.21,233.42,221.3,228.01,506.69392698,611
2024-01-08 04:00:00+00:00,227.47,240.38,226.51,235.76,552.61463456,613
2024-01-08 08:00:00+00:00,235.72,238.86,234.68,238.01,383.51278547,66
2024-01-08 12:00:00+00:00,238.14,240.51,237.17,239.48,551.49471455,290
2024-01-08 16:00:00+00:00,239.52,247.16,238.54,245.4,634.67773051,442
2024-01-08 20:00:00+00:00,245.28,255.89,244.29,253.97,699.43711509,856
2024-01-09 00:00:00+00:00,254.03,257.6,246.98,248.34,497.13097762,516
2024-01-09 04:00:00+00:00,248.55,250.15,247.31,250.07,180.44349524,242
2024-01-09 08:00:00+00:00,250.08,251.43,246.06,251.15,1110.84065048,559
2024-01-09 12:00:00+00:00,250.74,252.76,242.81,248.61,545.39643058,737
2024-01-09 16:00:00+00:00,247.52,249.93,244.84,246.56,258.24395527,325
2024-01-09 20:00:00+00:00,246.52,252.09,240.0,245.17,1496.68284596,1181
2024-01-10 00:00:00+00:00,244.85,247.64,244.22,245.85,117.0768377,233
2024-01-10 04:00:00+00:00,245.93,246.25,242.73,243.04,30.4564347,134
2024-01-10 08:00:00+00:00,243.02,245.05,240.1,241.55,360.57976751,311
