date,open,high,low,close,volume,trades
2024-06-04 12:00:00+00:00,0.23,1.0,0.23,0.25,570.50766,3
2024-06-04 16:00:00+00:00,0.298,0.359,0.2551,0.292,116627.72039,274
2024-06-04 20:00:00+00:00,0.292,0.35,0.2874,0.295,117454.4696899999,232
2024-06-05 00:00:00+00:00,0.3021,0.5138,0.3,0.3366,430820.6158299999,596
2024-06-05 04:00:00+00:00,0.3366,0.3699,0.3204,0.3433,244753.2072099999,410
2024-06-05 08:00:00+00:00,0.3482,0.3844,0.34,0.353,59738.19389,360
2024-06-05 12:00:00+00:00,0.353,0.375,0.333,0.333,180404.96432,316
2024-06-05 16:00:00+00:00,0.335,0.353,0.2817,0.29,177940.9409700001,237
2024-06-05 20:00:00+00:00,0.2837,0.3066,0.2685,0.2897,109633.53168,262
2024-06-06 00:00:00+00:00,0.283,0.2958,0.2534,0.2609,103523.69867,260
2024-06-06 04:00:00+00:00,0.2608,0.2899,0.2535,0.2634,360506.6266300002,274
2024-06-06 08:00:00+00:00,0.2648,0.2747,0.2535,0.2723,14820.02542,64
2024-06-06 12:00:00+00:00,0.2723,0.282,0.2512,0.2612,375133.9658700001,248
2024-06-06 16:00:00+00:00,0.2534,0.2779,0.2228,0.2228,373771.84135,300
2024-06-06 20:00:00+00:00,0.225,0.2533,0.21,0.2428,93741.3417,244
2024-06-07 00:00:00+00:00,0.2362,0.2585,0.2243,0.247,124927.24351,110
2024-06-07 04:00:00+00:00,0.2435,0.2675,0.233,0.233,48653.58276,176
2024-06-07 08:00:00+00:00,0.233,0.2463,0.217,0.227,69615.37237,225
2024-06-07 12:00:00+00:00,0.227,0.2379,0.2139,0.2143,99099.69893,265
2024-06-07 16:00:00+00:00,0.2142,0.236,0.18,0.2021,289210.9112999999,369
2024-06-07 20:00:00+00:00,0.2021,0.21,0.193,0.2021,45768.65893,139
2024-06-08 00:00:00+00:00,0.2025,0.2199,0.1955,0.2102,57318.00122,153
2024-06-08 04:00:00+00:00,0.2108,0.2368,0.2108,0.2302,72762.14246,119
2024-06-08 08:00:00+00:00,0.22,0.22,0.173,0.1944,97208.60388,212
2024-06-08 12:00:00+00:00,0.1996,0.1996,0.167,0.1995,48407.78985,151
2024-06-08 16:00:00+00:00,0.1938,0.22,0.1857,0.202,46192.49402,160
2024-06-08 20:00:00+00:00,0.202,0.22,0.1995,0.2104,57743.81816,113
2024-06-09 00:00:00+00:00,0.2104,0.227,0.2022,0.2206,31203.28745,104
2024-06-09 04:00:00+00:00,0.2206,0.2237,0.1951,0.2126,35900.32996,115
2024-06-09 08:00:00+00:00,0.202,0.2126,0.194,0.202,13992.72613,59
2024-06-09 12:00:00+00:00,0.2,0.2126,0.1995,0.2125,5240.54928,34
2024-06-09 16:00:00+00:00,0.2125,0.232,0.1853,0.2232,114012.2820599999,455
2024-06-09 20:00:00+00:00,0.2205,0.2302,0.2106,0.2177,43797.75444,159
2024-06-10 00:00:00+00:00,0.2113,0.2235,0.19,0.2081,61372.49499,180
2024-06-10 04:00:00+00:00,0.2001,0.2206,0.2,0.2119,17056.44226,103
2024-06-10 08:00:00+00:00,0.2122,0.2176,0.1933,0.1941,22317.15188,63
2024-06-10 12:00:00+00:00,0.1941,0.206,0.1721,0.1968,147731.2356099999,277
2024-06-10 16:00:00+00:00,0.194,0.2051,0.1874,0.194,14779.14167,67
2024-06-10 20:00:00+00:00,0.1932,0.1987,0.18,0.1855,20238.20908,110
2024-06-11 00:00:00+00:00,0.1885,0.192,0.1617,0.1729,50880.34101,111
2024-06-11 04:00:00+00:00,0.1678,0.1783,0.16,0.1701,82822.89444,195
2024-06-11 08:00:00+00:00,0.1697,0.178,0.1549,0.1731,73887.51167,174
2024-06-11 12:00:00+00:00,0.1678,0.175,0.1366,0.157,114132.5398,211
2024-06-11 16:00:00+00:00,0.1492,0.1913,0.1481,0.1878,163156.5478399999,254
2024-06-11 20:00:00+00:00,0.1913,0.205,0.1715,0.1802,121438.97716,231
2024-06-12 00:00:00+00:00,0.1802,0.1807,0.1632,0.1743,28024.69552,92
2024-06-12 04:00:00+00:00,0.1816,0.2188,0.1806,0.1948,87605.0903999999,157
2024-06-12 08:00:00+00:00,0.1944,0.2072,0.1807,0.1826,9320.11345,77
2024-06-12 12:00:00+00:00,0.191,0.235,0.185,0.2023,158853.2998200001,292
2024-06-12 16:00:00+00:00,0.2024,0.2302,0.16,0.1625,359325.37065,910
2024-06-12 20:00:00+00:00,0.1633,0.2,0.16,0.1877,214945.42375,328
2024-06-13 00:00:00+00:00,0.1818,0.21,0.165,0.1706,172201.2407,194
2024-06-13 04:00:00+00:00,0.1706,0.1747,0.1637,0.1674,73227.22049,101
2024-06-13 08:00:00+00:00,0.1674,0.176,0.1637,0.169,8411.61515,67
2024-06-13 12:00:00+00:00,0.1655,0.1809,0.128,0.1514,241377.8833,536
2024-06-13 16:00:00+00:00,0.154,0.1626,0.1471,0.1544,84551.39383,217
2024-06-13 20:00:00+00:00,0.155,0.1642,0.1426,0.1515,53235.68609,335
2024-06-14 00:00:00+00:00,0.151,0.157,0.145,0.145,22328.0981,81
2024-06-14 04:00:00+00:00,0.1474,0.1631,0.1459,0.1631,20311.73608,111
2024-06-14 08:00:00+00:00,0.16,0.17,0.1514,0.159,52140.87386,189
2024-06-14 12:00:00+00:00,0.1595,0.173,0.1532,0.1559,157544.0719199998,350
2024-06-14 16:00:00+00:00,0.1559,0.1559,0.1344,0.137,80219.87683,246
2024-06-14 20:00:00+00:00,0.1396,0.1518,0.135,0.1459,28023.95143,151
2024-06-15 00:00:00+00:00,0.1459,0.1574,0.142,0.1574,19486.29052,124
2024-06-15 04:00:00+00:00,0.157,0.1612,0.1513,0.1574,9225.48059,68
2024-06-15 08:00:00+00:00,0.1532,0.1631,0.1529,0.155,9773.98867,69
2024-06-15 12:00:00+00:00,0.1577,0.1642,0.1532,0.1532,193317.34766,123
2024-06-15 16:00:00+00:00,0.1579,0.165,0.1413,0.1471,15272.93864,99
2024-06-15 20:00:00+00:00,0.1471,0.149,0.1386,0.1416,10071.57765,55
2024-06-16 00:00:00+00:00,0.1416,0.1548,0.1416,0.1514,12617.93219,80
2024-06-16 04:00:00+00:00,0.1515,0.1533,0.1459,0.149,3214.3982,17
2024-06-16 08:00:00+00:00,0.1459,0.1518,0.1459,0.1518,1188.74022,11
2024-06-16 12:00:00+00:00,0.1472,0.1642,0.1436,0.1642,10632.20809,67
2024-06-16 16:00:00+00:00,0.1642,0.1721,0.155,0.1717,88964.18308,276
2024-06-16 20:00:00+00:00,0.1705,0.1844,0.1637,0.1737,39613.43579,203
2024-06-17 00:00:00+00:00,0.1772,0.1791,0.165,0.1655,19768.0165,91
2024-06-17 04:00:00+00:00,0.1656,0.175,0.1559,0.1574,46118.84115,197
2024-06-17 08:00:00+00:00,0.1569,0.1644,0.14,0.1426,51251.03559,254
2024-06-17 12:00:00+00:00,0.1426,0.147,0.1334,0.1359,51800.26015,250
2024-06-17 16:00:00+00:00,0.1334,0.1601,0.124,0.1451,257219.74376,437
2024-06-17 20:00:00+00:00,0.1451,0.1512,0.1046,0.119,347666.46309,663
2024-06-18 00:00:00+00:00,0.1215,0.1285,0.1,0.1176,420044.8652799998,428
2024-06-18 04:00:00+00:00,0.1176,0.1425,0.101,0.121,347982.1291599997,792
2024-06-18 08:00:00+00:00,0.1239,0.129,0.104,0.11,268046.8674499999,570
2024-06-18 12:00:00+00:00,0.11,0.1166,0.0975,0.1083,788143.05794,445
2024-06-18 16:00:00+00:00,0.1085,0.1251,0.1027,0.11,134307.4161199999,339
2024-06-18 20:00:00+00:00,0.1061,0.135,0.1061,0.1234,171259.9409999999,236
2024-06-19 00:00:00+00:00,0.1231,0.1444,0.12,0.1373,219337.84566,372
2024-06-19 04:00:00+00:00,0.1357,0.15,0.1295,0.135,152181.0868799999,184
2024-06-19 08:00:00+00:00,0.1296,0.1339,0.1229,0.131,11654.0309,58
2024-06-19 12:00:00+00:00,0.1335,0.143,0.1322,0.1385,255204.5838199999,188
2024-06-19 16:00:00+00:00,0.1385,0.15,0.1317,0.1371,79055.95163,241
2024-06-19 20:00:00+00:00,0.1416,0.1416,0.11,0.114,72131.54117,223
2024-06-20 00:00:00+00:00,0.1167,0.1223,0.1084,0.1111,118207.39764,200
2024-06-20 04:00:00+00:00,0.111,0.12,0.1025,0.1177,243895.8522700001,391
2024-06-20 08:00:00+00:00,0.1177,0.1212,0.1039,0.1063,206527.6954500001,213
2024-06-20 12:00:00+00:00,0.1071,0.1162,0.0925,0.0947,756912.5776099999,748
2024-06-20 16:00:00+00:00,0.0969,0.1027,0.0888,0.0957,323498.59707,316
2024-06-20 20:00:00+00:00,0.0964,0.1,0.0947,0.0947,111613.71601,109
2024-06-21 00:00:00+00:00,0.0948,0.1099,0.0855,0.0936,594152.5887300003,380
2024-06-21 04:00:00+00:00,0.0927,0.0953,0.0881,0.0881,36865.33908,99
2024-06-21 08:00:00+00:00,0.0883,0.0883,0.0809,0.0844,138788.53997,215
2024-06-21 12:00:00+00:00,0.0845,0.0869,0.073,0.0858,1239292.0232900046,536
2024-06-21 16:00:00+00:00,0.0861,0.1101,0.0815,0.105,644960.2645399998,515
2024-06-21 20:00:00+00:00,0.105,0.1078,0.0977,0.1064,360138.9548300001,356
2024-06-22 00:00:00+00:00,0.1066,0.1079,0.0924,0.1008,221098.3888299999,345
2024-06-22 04:00:00+00:00,0.1013,0.1139,0.099,0.1086,191428.20836,217
2024-06-22 08:00:00+00:00,0.1088,0.1139,0.1071,0.1115,169269.39778,143
2024-06-22 12:00:00+00:00,0.111,0.1165,0.1063,0.1106,289162.6388900001,242
2024-06-22 16:00:00+00:00,0.1113,0.1275,0.1107,0.1274,380382.6465499999,269
2024-06-22 20:00:00+00:00,0.1275,0.1492,0.1211,0.1296,839507.6780500005,674
2024-06-23 00:00:00+00:00,0.1298,0.1548,0.1224,0.1252,819780.3445000001,664
2024-06-23 04:00:00+00:00,0.1268,0.13,0.1235,0.1275,164215.1918999999,143
2024-06-23 08:00:00+00:00,0.1287,0.1291,0.1106,0.1106,204180.0936499999,230
2024-06-23 12:00:00+00:00,0.1106,0.1201,0.1071,0.1136,422454.1378900001,359
2024-06-23 16:00:00+00:00,0.1133,0.1228,0.1009,0.1018,367204.7088399998,466
2024-06-23 20:00:00+00:00,0.102,0.1074,0.0961,0.0997,391475.60434,349
2024-06-24 00:00:00+00:00,0.0997,0.1062,0.0892,0.0975,365369.0502299999,464
2024-06-24 04:00:00+00:00,0.0947,0.0993,0.088,0.0911,796661.8619300004,415
2024-06-24 08:00:00+00:00,0.0915,0.1039,0.0909,0.1027,292371.4983399998,241
2024-06-24 12:00:00+00:00,0.0996,0.13,0.0992,0.1187,570402.8396499997,554
2024-06-24 16:00:00+00:00,0.121,0.1285,0.1115,0.1212,593676.5106400001,466
2024-06-24 20:00:00+00:00,0.1227,0.1487,0.111,0.1438,1387075.2527300008,755
2024-06-25 00:00:00+00:00,0.144,0.1656,0.1302,0.1574,565928.10862,686
2024-06-25 04:00:00+00:00,0.1574,0.1623,0.1396,0.1417,545777.5297599996,450
2024-06-25 08:00:00+00:00,0.1404,0.1528,0.1252,0.1356,532568.26664,501
2024-06-25 12:00:00+00:00,0.1372,0.1944,0.1372,0.1767,850670.4274900003,848
2024-06-25 16:00:00+00:00,0.1751,0.1895,0.15,0.1626,1433848.8154299988,1595
2024-06-25 20:00:00+00:00,0.1636,0.164,0.1455,0.1497,883613.7026899995,1158
2024-06-26 00:00:00+00:00,0.1497,0.1639,0.1449,0.1606,244210.2736599999,345
2024-06-26 04:00:00+00:00,0.1613,0.1643,0.1505,0.1565,211204.2671500001,290
2024-06-26 08:00:00+00:00,0.1561,0.1561,0.136,0.1492,548918.6586100005,545
2024-06-26 12:00:00+00:00,0.1485,0.1647,0.1373,0.163,757374.5315300004,810
2024-06-26 16:00:00+00:00,0.1595,0.167,0.144,0.1479,579509.7597699992,649
2024-06-26 20:00:00+00:00,0.1454,0.1555,0.1309,0.1331,592851.9926799999,516
2024-06-27 00:00:00+00:00,0.1334,0.1442,0.1293,0.1351,116807.19596,223
2024-06-27 04:00:00+00:00,0.1337,0.1337,0.1215,0.1266,356649.0783800001,286
2024-06-27 08:00:00+00:00,0.1268,0.1449,0.1187,0.1398,404318.3227500001,463
2024-06-27 12:00:00+00:00,0.1401,0.15,0.115,0.126,929028.78135,884
2024-06-27 16:00:00+00:00,0.1276,0.1414,0.1234,0.1353,603343.2520899983,557
2024-06-27 20:00:00+00:00,0.1362,0.1784,0.1362,0.157,1251243.7788899995,994
2024-06-28 00:00:00+00:00,0.1558,0.1579,0.0765,0.0871,6565787.6387600005,2205
2024-06-28 04:00:00+00:00,0.088,0.0963,0.0788,0.0814,1585235.759450001,1022
2024-06-28 08:00:00+00:00,0.0812,0.095,0.0787,0.0827,1929611.6332000024,1129
2024-06-28 12:00:00+00:00,0.0832,0.0857,0.0685,0.083,3691118.295109997,1475
2024-06-28 16:00:00+00:00,0.0832,0.0858,0.074,0.074,1919796.022770001,1508
2024-06-28 20:00:00+00:00,0.0754,0.0777,0.0688,0.071,936070.2588099996,625
2024-06-29 00:00:00+00:00,0.071,0.0731,0.0595,0.065,1738449.1566700016,849
2024-06-29 04:00:00+00:00,0.0645,0.0753,0.0628,0.0679,634189.2666399999,430
2024-06-29 08:00:00+00:00,0.068,0.072,0.0642,0.0672,1682171.2690899994,700
2024-06-29 12:00:00+00:00,0.0674,0.0677,0.0535,0.0555,1664141.18863,992
2024-06-29 16:00:00+00:00,0.0555,0.0726,0.0538,0.0647,2557693.6782899997,1115
2024-06-29 20:00:00+00:00,0.0646,0.0647,0.0559,0.0579,1021639.0109099993,473
2024-06-30 00:00:00+00:00,0.0576,0.0641,0.0555,0.0568,846868.53422,499
2024-06-30 04:00:00+00:00,0.0574,0.0609,0.052,0.0597,1184093.5501100002,515
2024-06-30 08:00:00+00:00,0.0596,0.0617,0.052,0.0537,1084305.5685199995,497
2024-06-30 12:00:00+00:00,0.0538,0.0574,0.052,0.0553,1451912.301109999,594
2024-06-30 16:00:00+00:00,0.0555,0.0639,0.051,0.0561,3322634.248179998,922
2024-06-30 20:00:00+00:00,0.056,0.057,0.0416,0.0451,3903940.3536799992,1337
2024-07-01 00:00:00+00:00,0.0451,0.056,0.0431,0.0548,2077883.5296,940
2024-07-01 04:00:00+00:00,0.0548,0.0548,0.046,0.0474,1106726.35438,491
2024-07-01 08:00:00+00:00,0.0473,0.0499,0.0444,0.0459,1045069.1532300002,472
2024-07-01 12:00:00+00:00,0.047,0.0531,0.0466,0.0516,1542889.9227000007,581
2024-07-01 16:00:00+00:00,0.0517,0.0699,0.0477,0.064,3462586.8855,1234
2024-07-01 20:00:00+00:00,0.0633,0.0765,0.0586,0.0722,3073314.5846,1583
2024-07-02 00:00:00+00:00,0.0722,0.0759,0.0595,0.0607,2568829.017930001,893
2024-07-02 04:00:00+00:00,0.0604,0.0642,0.053,0.0568,890588.0598200004,391
2024-07-02 08:00:00+00:00,0.0568,0.0657,0.0563,0.0605,802406.9728500001,306
2024-07-02 12:00:00+00:00,0.0607,0.0657,0.057,0.057,1006965.7237200004,422
2024-07-02 16:00:00+00:00,0.0579,0.0587,0.0487,0.0489,2240265.3830300006,838
2024-07-02 20:00:00+00:00,0.0487,0.0532,0.046,0.0484,2500456.1273700017,774
2024-07-03 00:00:00+00:00,0.0487,0.049,0.044,0.0457,1671766.1350600002,572
2024-07-03 04:00:00+00:00,0.0456,0.0481,0.043,0.047,1082610.77257,366
2024-07-03 08:00:00+00:00,0.0462,0.0475,0.0427,0.0434,1092226.8657899995,341
2024-07-03 12:00:00+00:00,0.0433,0.0467,0.0357,0.0366,4977933.137919999,1326
2024-07-03 16:00:00+00:00,0.0357,0.0468,0.0313,0.0376,4662383.973520007,1203
2024-07-03 20:00:00+00:00,0.0377,0.0409,0.0343,0.0381,3283117.27067,986
2024-07-04 00:00:00+00:00,0.038,0.0388,0.0322,0.0349,2157302.722730001,587
2024-07-04 04:00:00+00:00,0.035,0.0364,0.0327,0.0329,766905.6842700003,292
2024-07-04 08:00:00+00:00,0.033,0.0353,0.0322,0.0335,1288708.31594,400
2024-07-04 12:00:00+00:00,0.0331,0.0357,0.0316,0.0343,1694376.222039999,490
2024-07-04 16:00:00+00:00,0.035,0.0418,0.0329,0.037,2343550.167340001,739
2024-07-04 20:00:00+00:00,0.0368,0.0389,0.0315,0.0316,1591481.2055499996,414
2024-07-05 00:00:00+00:00,0.0315,0.0336,0.0267,0.0288,2250593.1478300025,622
2024-07-05 04:00:00+00:00,0.0281,0.033,0.0254,0.0283,2581554.297799999,927
2024-07-05 08:00:00+00:00,0.028,0.0307,0.0265,0.0291,2146706.31852,829
2024-07-05 12:00:00+00:00,0.0291,0.0331,0.027,0.0306,3441168.4128999994,840
2024-07-05 16:00:00+00:00,0.0308,0.0355,0.03,0.0355,2680277.4696300006,660
2024-07-05 20:00:00+00:00,0.0352,0.0493,0.0351,0.0389,5175406.268160005,1583
2024-07-06 00:00:00+00:00,0.0384,0.0394,0.032,0.037,3378868.045820003,984
2024-07-06 04:00:00+00:00,0.037,0.0395,0.0358,0.037,1402580.6952000002,329
2024-07-06 08:00:00+00:00,0.0366,0.0424,0.0351,0.0395,2273161.99382,708
2024-07-06 12:00:00+00:00,0.0391,0.048,0.0391,0.0471,2264481.7999199983,820
2024-07-06 16:00:00+00:00,0.0475,0.0476,0.0372,0.0411,3796850.150920001,1135
2024-07-06 20:00:00+00:00,0.0411,0.0417,0.0387,0.0393,1630133.7524400004,409
2024-07-07 00:00:00+00:00,0.0397,0.0424,0.0362,0.0383,936290.2460400002,562
2024-07-07 04:00:00+00:00,0.0383,0.0387,0.035,0.0351,734451.9630500003,230
2024-07-07 08:00:00+00:00,0.035,0.035,0.0325,0.0342,1427202.9934500006,385
2024-07-07 12:00:00+00:00,0.0342,0.0353,0.0318,0.0343,1379140.9164400008,405
2024-07-07 16:00:00+00:00,0.0343,0.0357,0.0333,0.0338,1223585.9973300002,356
2024-07-07 20:00:00+00:00,0.034,0.0348,0.0289,0.0296,1642733.5016899998,412
2024-07-08 00:00:00+00:00,0.0297,0.0313,0.0262,0.0272,3962722.70804,902
2024-07-08 04:00:00+00:00,0.0272,0.0287,0.0262,0.0264,1280107.36951,350
2024-07-08 08:00:00+00:00,0.0268,0.0321,0.0268,0.0314,2976981.1955599994,693
2024-07-08 12:00:00+00:00,0.0316,0.0373,0.0301,0.0326,3880416.51307,1288
2024-07-08 16:00:00+00:00,0.0327,0.0447,0.0327,0.0376,7284881.824879995,2017
2024-07-08 20:00:00+00:00,0.0378,0.0406,0.035,0.0388,2701163.7921499987,783
2024-07-09 00:00:00+00:00,0.0387,0.0437,0.0364,0.0421,2421002.1514299987,978
2024-07-09 04:00:00+00:00,0.0423,0.0528,0.0417,0.046,5637666.226349993,1422
2024-07-09 08:00:00+00:00,0.0462,0.0486,0.0412,0.0424,1494742.067149999,538
2024-07-09 12:00:00+00:00,0.0425,0.059,0.0424,0.058,4403792.4256500015,1574
2024-07-09 16:00:00+00:00,0.058,0.0653,0.0566,0.0605,6872215.718169987,2100
2024-07-09 20:00:00+00:00,0.0599,0.0616,0.0486,0.06,4312121.180829993,1257
