date,open,high,low,close,volume,trades
2025-05-02 04:00:00+00:00,2.399,2.4,2.399,2.4,337.26666,2
2025-05-02 08:00:00+00:00,1.966,1.966,1.96,1.96,337.26666,7
2025-05-02 12:00:00+00:00,2.394,2.394,2.044,2.044,530.57706,6
2025-05-02 16:00:00+00:00,1.963,2.349,1.963,2.349,45.90494,4
2025-05-02 20:00:00+00:00,1.955,2.291,1.953,1.953,15.3244,3
2025-05-03 00:00:00+00:00,2.282,2.4,2.001,2.018,91.27161,10
2025-05-03 04:00:00+00:00,2.018,2.35,2.018,2.035,94.57653,20
2025-05-03 08:00:00+00:00,2.018,2.35,1.966,1.966,1060.89098,25
2025-05-03 12:00:00+00:00,2.03,2.051,2.012,2.012,133.63318,8
2025-05-03 16:00:00+00:00,2.033,2.298,1.951,2.032,383.75764,60
2025-05-03 20:00:00+00:00,2.03,2.03,1.952,2.014,91.1244,11
2025-05-04 00:00:00+00:00,1.953,2.031,1.951,1.951,31.4502,6
2025-05-04 04:00:00+00:00,1.983,1.999,1.983,1.999,107.6875,4
2025-05-04 08:00:00+00:00,1.999,1.999,1.95,1.98,117.41975,5
2025-05-04 12:00:00+00:00,1.969,1.981,1.969,1.981,435.17814,4
2025-05-04 16:00:00+00:00,1.949,1.949,1.849,1.881,155.97196,11
2025-05-04 20:00:00+00:00,1.931,2.3,1.776,1.776,679.70475,49
2025-05-05 00:00:00+00:00,1.781,2.08,1.78,1.941,174.55772,9
2025-05-05 04:00:00+00:00,1.946,1.966,1.889,1.966,183.88127,8
2025-05-05 08:00:00+00:00,1.902,1.987,1.902,1.975,257.4962,7
2025-05-05 12:00:00+00:00,1.987,2.034,1.987,2.033,39.85165,7
2025-05-05 16:00:00+00:00,1.923,2.017,1.872,1.962,174.04677,12
2025-05-05 20:00:00+00:00,1.977,2.346,1.902,1.982,14921.49632,124
2025-05-06 00:00:00+00:00,2.235,2.26,1.832,2.043,1638.17218,84
2025-05-06 04:00:00+00:00,2.058,2.059,1.992,1.992,151.9354,5
2025-05-06 08:00:00+00:00,1.998,2.018,1.983,1.983,114.6617,6
2025-05-06 12:00:00+00:00,2.001,2.001,2.001,2.001,0.4827,1
2025-05-06 16:00:00+00:00,2.001,2.017,1.886,1.982,108.51475,21
2025-05-06 20:00:00+00:00,1.983,2.25,1.858,1.998,891.74676,46
2025-05-07 00:00:00+00:00,1.967,2.053,1.941,1.952,53.45163,7
2025-05-07 04:00:00+00:00,1.953,1.953,1.953,1.953,12.6595,1
2025-05-07 08:00:00+00:00,2.0,2.049,2.0,2.049,22.88712,3
2025-05-07 12:00:00+00:00,2.018,2.028,1.983,2.028,26.29553,6
2025-05-07 16:00:00+00:00,2.035,2.086,2.002,2.069,44.0797,9
2025-05-07 20:00:00+00:00,2.086,2.175,1.942,1.993,83.96283,27
2025-05-08 00:00:00+00:00,2.035,2.104,2.035,2.104,14.8455,6
2025-05-08 04:00:00+00:00,2.104,2.174,2.07,2.138,1033.18329,33
2025-05-08 08:00:00+00:00,2.155,2.173,2.122,2.122,1067.57143,15
2025-05-08 12:00:00+00:00,2.122,2.188,2.122,2.188,477.25969,12
2025-05-08 16:00:00+00:00,2.189,2.349,2.086,2.189,206.08433,29
2025-05-08 20:00:00+00:00,2.174,2.244,2.172,2.244,49.43699,13
2025-05-09 00:00:00+00:00,2.239,2.38,2.191,2.259,710.92814,20
2025-05-09 04:00:00+00:00,2.259,2.324,2.244,2.292,161.79332,8
2025-05-09 08:00:00+00:00,2.309,2.5,2.255,2.29,146.09062,12
2025-05-09 12:00:00+00:00,2.459,2.467,2.228,2.31,75.7814,11
2025-05-09 16:00:00+00:00,2.325,2.326,2.259,2.321,192.78806,12
2025-05-09 20:00:00+00:00,2.264,2.499,2.136,2.499,493.38578,26
2025-05-10 00:00:00+00:00,2.447,2.55,2.325,2.442,1437.82059,46
2025-05-10 04:00:00+00:00,2.447,2.65,2.447,2.464,5.33525,5
2025-05-10 08:00:00+00:00,2.464,2.724,2.361,2.412,702.13564,26
2025-05-10 12:00:00+00:00,2.377,2.68,2.361,2.48,382.26368,37
2025-05-10 16:00:00+00:00,2.463,2.494,2.413,2.413,92.50992,16
2025-05-10 20:00:00+00:00,2.413,2.74,2.301,2.476,316.50655,78
2025-05-11 00:00:00+00:00,2.475,2.512,2.455,2.494,139.73611,14
2025-05-11 04:00:00+00:00,2.494,2.739,2.404,2.42,152.07966,31
2025-05-11 08:00:00+00:00,2.403,2.601,2.348,2.601,128.61866,8
2025-05-11 12:00:00+00:00,2.596,2.596,2.44,2.44,38.42784,2
2025-05-11 16:00:00+00:00,2.304,2.649,2.304,2.339,242.47562,11
2025-05-11 20:00:00+00:00,2.603,2.603,2.4,2.472,179.20117,13
2025-05-12 00:00:00+00:00,2.429,2.615,2.349,2.595,842.50949,29
2025-05-12 04:00:00+00:00,2.46,2.577,2.436,2.577,47.68435,3
2025-05-12 08:00:00+00:00,2.45,2.82,2.428,2.488,788.26719,17
2025-05-12 12:00:00+00:00,2.613,2.613,2.38,2.38,1464.81647,34
2025-05-12 16:00:00+00:00,2.5,2.5,2.238,2.387,1127.28815,25
2025-05-12 20:00:00+00:00,2.379,2.496,2.234,2.337,1848.32412,38
2025-05-13 00:00:00+00:00,2.423,2.425,2.246,2.374,127.40242,15
2025-05-13 04:00:00+00:00,2.411,2.42,2.294,2.294,70.0,7
2025-05-13 08:00:00+00:00,2.333,2.374,2.333,2.374,469.05538,6
2025-05-13 12:00:00+00:00,2.37,2.412,2.313,2.373,75.11991,13
2025-05-13 16:00:00+00:00,2.374,2.594,2.374,2.475,1090.86553,41
2025-05-13 20:00:00+00:00,2.453,2.659,2.343,2.469,562.17311,37
2025-05-14 00:00:00+00:00,2.493,2.504,2.423,2.423,1040.01791,29
2025-05-14 04:00:00+00:00,2.473,2.473,2.473,2.473,50.24887,3
2025-05-14 08:00:00+00:00,2.455,2.455,2.38,2.396,218.9474,13
2025-05-14 12:00:00+00:00,2.434,2.542,2.423,2.499,594.31798,23
2025-05-14 16:00:00+00:00,2.401,2.467,2.377,2.454,169.3588,9
2025-05-14 20:00:00+00:00,2.467,2.666,2.388,2.388,1809.87068,64
2025-05-15 00:00:00+00:00,2.367,2.423,2.356,2.394,269.72357,7
2025-05-15 04:00:00+00:00,2.338,2.338,2.283,2.283,211.56221,5
2025-05-15 08:00:00+00:00,2.374,2.385,2.374,2.385,2.8174,2
