date,open,high,low,close,volume,trades
2024-01-01 00:00:00+00:00,0.386,0.396,0.383,0.386,55707.9694703,252
2024-01-01 04:00:00+00:00,0.386,0.398,0.382,0.382,73143.5169859,427
2024-01-01 08:00:00+00:00,0.383,0.387,0.375,0.384,103170.6667131099,416
2024-01-01 12:00:00+00:00,0.384,0.385,0.377,0.384,119317.26083284,280
2024-01-01 16:00:00+00:00,0.382,0.436,0.382,0.395,178954.0183887099,617
2024-01-01 20:00:00+00:00,0.397,0.403,0.393,0.397,75675.61151049,258
2024-01-02 00:00:00+00:00,0.395,0.404,0.394,0.403,51943.09022594,109
2024-01-02 04:00:00+00:00,0.403,0.405,0.398,0.399,24248.0408238,122
2024-01-02 08:00:00+00:00,0.402,0.405,0.399,0.399,59690.21842814,188
2024-01-02 12:00:00+00:00,0.399,0.417,0.396,0.397,331583.4764509699,1595
2024-01-02 16:00:00+00:00,0.4,0.434,0.388,0.392,208042.09479632,767
2024-01-02 20:00:00+00:00,0.392,0.397,0.389,0.396,70328.88426874,234
2024-01-03 00:00:00+00:00,0.394,0.398,0.393,0.395,6117.87197387,30
2024-01-03 04:00:00+00:00,0.395,0.398,0.393,0.395,34578.99288875,72
2024-01-03 08:00:00+00:00,0.398,0.402,0.388,0.389,92017.36858834,279
2024-01-03 12:00:00+00:00,0.388,0.39,0.346,0.357,606861.0119168293,1920
2024-01-03 16:00:00+00:00,0.36,0.375,0.354,0.358,201436.0659911399,873
2024-01-03 20:00:00+00:00,0.358,0.367,0.348,0.361,102392.92833428,323
2024-01-04 00:00:00+00:00,0.361,0.37,0.358,0.361,127764.27047683,363
2024-01-04 04:00:00+00:00,0.362,0.373,0.361,0.361,38441.78788452,113
2024-01-04 08:00:00+00:00,0.362,0.364,0.354,0.354,138008.1485239901,299
2024-01-04 12:00:00+00:00,0.355,0.36,0.352,0.357,361007.2078819701,972
2024-01-04 16:00:00+00:00,0.357,0.361,0.344,0.359,153137.92915379,527
2024-01-04 20:00:00+00:00,0.359,0.364,0.356,0.356,125177.51292705,424
2024-01-05 00:00:00+00:00,0.358,0.361,0.349,0.349,74700.93209448,311
2024-01-05 04:00:00+00:00,0.35,0.354,0.349,0.353,54106.95365727,139
2024-01-05 08:00:00+00:00,0.35,0.356,0.337,0.346,151189.85430904,489
2024-01-05 12:00:00+00:00,0.347,0.351,0.337,0.34,156366.78892542,490
2024-01-05 16:00:00+00:00,0.34,0.341,0.336,0.339,93359.42067191,311
