date,open,high,low,close,volume,trades
2024-01-01 00:00:00+00:00,0.911,0.928,0.91,0.913,42540.86627831,91
2024-01-01 04:00:00+00:00,0.914,0.914,0.892,0.902,91963.06194122,90
2024-01-01 08:00:00+00:00,0.901,0.937,0.899,0.925,159395.5902700399,117
2024-01-01 12:00:00+00:00,0.924,0.934,0.916,0.934,305049.48739404,182
2024-01-01 16:00:00+00:00,0.934,0.961,0.93,0.96,82778.36803186,133
2024-01-01 20:00:00+00:00,0.962,0.964,0.952,0.959,53054.49416881,81
2024-01-02 00:00:00+00:00,0.95,0.976,0.945,0.975,47060.03160851,141
2024-01-02 04:00:00+00:00,0.976,0.976,0.96,0.968,147132.1028399,155
2024-01-02 08:00:00+00:00,0.969,0.983,0.963,0.974,78724.20154831,150
2024-01-02 12:00:00+00:00,0.975,0.976,0.926,0.942,62017.96940252,161
2024-01-02 16:00:00+00:00,0.935,0.937,0.921,0.922,79851.90274768,109
2024-01-02 20:00:00+00:00,0.921,0.928,0.911,0.915,40334.95012402,103
2024-01-03 00:00:00+00:00,0.916,0.93,0.907,0.919,26031.80086686,79
2024-01-03 04:00:00+00:00,0.92,0.941,0.92,0.927,9358.25381053,54
2024-01-03 08:00:00+00:00,0.929,0.951,0.892,0.895,73664.49659878,314
2024-01-03 12:00:00+00:00,0.893,0.893,0.715,0.834,387574.2257855302,730
2024-01-03 16:00:00+00:00,0.835,0.839,0.813,0.83,143701.0672782201,226
2024-01-03 20:00:00+00:00,0.831,0.842,0.821,0.826,28723.30318963,114
2024-01-04 00:00:00+00:00,0.827,0.842,0.804,0.842,41874.52382531,102
2024-01-04 04:00:00+00:00,0.835,0.869,0.831,0.831,53047.91411645,112
2024-01-04 08:00:00+00:00,0.834,0.845,0.824,0.843,21358.87796925,69
2024-01-04 12:00:00+00:00,0.831,0.862,0.831,0.86,32478.2464936,115
2024-01-04 16:00:00+00:00,0.851,0.858,0.845,0.853,86223.23644894,90
2024-01-04 20:00:00+00:00,0.854,0.865,0.849,0.854,23528.88730206,72
2024-01-05 00:00:00+00:00,0.855,0.855,0.807,0.83,119087.6549374101,133
2024-01-05 04:00:00+00:00,0.823,0.826,0.817,0.825,22876.90750191,82
2024-01-05 08:00:00+00:00,0.82,0.828,0.797,0.799,65218.15212081,84
2024-01-05 12:00:00+00:00,0.8,0.81,0.783,0.792,42660.82451367,124
2024-01-05 16:00:00+00:00,0.793,0.797,0.78,0.796,22331.5366391,67
2024-01-05 20:00:00+00:00,0.795,0.811,0.795,0.81,31266.77788685,71
2024-01-06 00:00:00+00:00,0.81,0.81,0.792,0.795,7066.60297776,27
2024-01-06 04:00:00+00:00,0.796,0.796,0.75,0.77,79108.78212558,153
2024-01-06 08:00:00+00:00,0.763,0.783,0.763,0.783,46401.78767026,68
2024-01-06 12:00:00+00:00,0.783,0.827,0.783,0.82,74027.63075768,162
2024-01-06 16:00:00+00:00,0.819,0.829,0.808,0.82,29300.16805969,93
2024-01-06 20:00:00+00:00,0.818,0.827,0.812,0.82,100981.6639814399,164
2024-01-07 00:00:00+00:00,0.813,0.826,0.808,0.818,39810.03721846,87
2024-01-07 04:00:00+00:00,0.819,0.823,0.815,0.819,2104.45697438,42
2024-01-07 08:00:00+00:00,0.82,0.827,0.796,0.798,10906.08712452,63
2024-01-07 12:00:00+00:00,0.799,0.813,0.788,0.791,69290.53986112,89
2024-01-07 16:00:00+00:00,0.789,0.794,0.779,0.792,49480.30957005,136
2024-01-07 20:00:00+00:00,0.789,0.791,0.746,0.762,139642.5466429399,148
2024-01-08 00:00:00+00:00,0.763,0.765,0.7,0.718,230454.4155382299,281
2024-01-08 04:00:00+00:00,0.718,0.754,0.713,0.739,36306.65729761,147
2024-01-08 08:00:00+00:00,0.743,0.755,0.742,0.755,16695.05080791,24
2024-01-08 12:00:00+00:00,0.756,0.789,0.754,0.785,60591.21913832,131
2024-01-08 16:00:00+00:00,0.786,0.82,0.776,0.82,109125.4663663,133
2024-01-08 20:00:00+00:00,0.816,0.828,0.812,0.822,148286.01330464,106
2024-01-09 00:00:00+00:00,0.816,0.821,0.794,0.8,16558.29689269,89
2024-01-09 04:00:00+00:00,0.801,0.806,0.794,0.799,5932.81641533,111
2024-01-09 08:00:00+00:00,0.796,0.798,0.771,0.782,38173.63951377,78
2024-01-09 12:00:00+00:00,0.783,0.784,0.749,0.764,112238.45980482,168
2024-01-09 16:00:00+00:00,0.762,0.767,0.755,0.758,27150.81438305,97
2024-01-09 20:00:00+00:00,0.759,0.768,0.743,0.764,120744.3349611399,238
2024-01-10 00:00:00+00:00,0.765,0.774,0.761,0.767,5925.79877755,45
2024-01-10 04:00:00+00:00,0.767,0.77,0.755,0.756,10449.82066388,63
2024-01-10 08:00:00+00:00,0.755,0.771,0.745,0.764,20173.50785385,73
2024-01-10 12:00:00+00:00,0.762,0.762,0.728,0.754,65676.79720276,138
2024-01-10 16:00:00+00:00,0.755,0.771,0.745,0.768,118633.14094404,135
2024-01-10 20:00:00+00:00,0.766,0.837,0.748,0.819,664352.4066119206,605
2024-01-11 00:00:00+00:00,0.82,0.847,0.816,0.847,51685.37211319,129
2024-01-11 04:00:00+00:00,0.848,0.851,0.818,0.845,6923.20653236,71
2024-01-11 08:00:00+00:00,0.842,0.88,0.842,0.879,38097.18737824,130
2024-01-11 12:00:00+00:00,0.876,0.92,0.873,0.887,241776.8430243801,385
2024-01-11 16:00:00+00:00,0.885,0.902,0.86,0.892,116947.8453551599,208
2024-01-11 20:00:00+00:00,0.892,0.897,0.866,0.879,42747.18454894,108
2024-01-12 00:00:00+00:00,0.88,0.912,0.866,0.911,78012.61139548,172
2024-01-12 04:00:00+00:00,0.909,0.935,0.903,0.909,123247.53965224,211
2024-01-12 08:00:00+00:00,0.899,0.91,0.884,0.899,128687.3506705899,177
2024-01-12 12:00:00+00:00,0.9,0.911,0.871,0.874,164209.2373978199,208
2024-01-12 16:00:00+00:00,0.875,0.886,0.841,0.867,115824.91437783,219
2024-01-12 20:00:00+00:00,0.868,0.874,0.792,0.828,78556.42828393,209
2024-01-13 00:00:00+00:00,0.829,0.832,0.791,0.812,15735.65954156,78
2024-01-13 04:00:00+00:00,0.813,0.856,0.813,0.839,21852.30435009,86
