date,open,high,low,close,volume,trades
2024-01-01 00:00:00+00:00,8.592,8.645,8.557,8.557,270.23412432,16
2024-01-01 04:00:00+00:00,8.552,8.63,8.515,8.63,2803.89799909,37
2024-01-01 08:00:00+00:00,8.646,8.648,8.6,8.63,579.64708327,16
2024-01-01 12:00:00+00:00,8.709,8.901,8.631,8.863,1438.50625752,60
2024-01-01 16:00:00+00:00,8.885,8.968,8.779,8.968,402.09583114,32
2024-01-01 20:00:00+00:00,8.979,9.057,8.925,9.04,934.77665173,54
2024-01-02 00:00:00+00:00,8.995,9.307,8.995,9.307,944.34499494,51
2024-01-02 04:00:00+00:00,9.302,9.417,9.302,9.327,975.94886407,26
2024-01-02 08:00:00+00:00,9.354,9.612,9.346,9.53,1935.71291517,42
2024-01-02 12:00:00+00:00,9.531,9.57,9.266,9.37,2422.81241683,54
2024-01-02 16:00:00+00:00,9.324,9.324,9.079,9.16,2257.41518904,58
2024-01-02 20:00:00+00:00,9.16,9.265,9.092,9.126,1031.75569041,31
2024-01-03 00:00:00+00:00,9.216,9.341,9.2,9.2,489.15825541,24
2024-01-03 04:00:00+00:00,9.202,9.246,9.153,9.153,211.14700038,11
2024-01-03 08:00:00+00:00,9.204,9.483,8.989,8.998,2129.31496979,75
2024-01-03 12:00:00+00:00,8.966,8.966,7.55,8.474,8959.87152972,342
2024-01-03 16:00:00+00:00,8.564,8.791,8.522,8.55,6284.47701517,144
2024-01-03 20:00:00+00:00,8.531,8.636,8.399,8.432,353.32815567,14
2024-01-04 00:00:00+00:00,8.444,8.613,8.31,8.592,527.31530954,31
2024-01-04 04:00:00+00:00,8.571,8.75,8.571,8.621,1683.42859992,40
2024-01-04 08:00:00+00:00,8.705,9.016,8.705,8.959,2984.41277111,60
2024-01-04 12:00:00+00:00,8.969,9.079,8.779,9.071,8457.94770939,144
2024-01-04 16:00:00+00:00,9.016,9.039,8.805,8.805,5643.90059272,68
2024-01-04 20:00:00+00:00,8.81,8.844,8.645,8.645,2947.97200801,99
2024-01-05 00:00:00+00:00,8.682,8.706,8.305,8.471,1270.391377,110
2024-01-05 04:00:00+00:00,8.42,8.427,8.347,8.35,6757.780081,103
2024-01-05 08:00:00+00:00,8.363,8.476,8.198,8.283,1136.64266585,36
2024-01-05 12:00:00+00:00,8.265,8.298,7.963,7.963,1289.59403663,40
2024-01-05 16:00:00+00:00,8.014,8.153,7.954,8.14,2328.12295079,49
2024-01-05 20:00:00+00:00,8.115,8.351,8.115,8.351,1786.49568911,60
2024-01-06 00:00:00+00:00,8.363,8.386,8.245,8.298,2424.43906078,53
2024-01-06 04:00:00+00:00,8.204,8.204,7.911,7.978,1462.86491142,44
2024-01-06 08:00:00+00:00,8.009,8.118,8.009,8.091,1710.07982166,28
2024-01-06 12:00:00+00:00,8.037,8.145,8.017,8.145,624.50292829,19
2024-01-06 16:00:00+00:00,8.163,8.221,8.101,8.101,909.68041223,24
2024-01-06 20:00:00+00:00,8.112,8.121,7.98,8.056,1075.33175968,24
2024-01-07 00:00:00+00:00,8.083,8.21,8.083,8.17,399.23313099,10
2024-01-07 04:00:00+00:00,8.193,8.246,8.164,8.21,428.01544527,23
2024-01-07 08:00:00+00:00,8.209,8.239,8.068,8.068,206.55183108,14
2024-01-07 12:00:00+00:00,8.093,8.113,7.963,7.963,2092.40360032,47
2024-01-07 16:00:00+00:00,8.009,8.011,7.823,7.856,834.46980871,43
2024-01-07 20:00:00+00:00,7.836,7.873,7.567,7.634,2295.4246672,62
2024-01-08 00:00:00+00:00,7.638,7.639,7.23,7.374,9786.28200245,170
2024-01-08 04:00:00+00:00,7.361,7.748,7.323,7.631,4483.00098241,114
2024-01-08 08:00:00+00:00,7.754,7.754,7.754,7.754,4.47105541,1
2024-01-08 12:00:00+00:00,7.825,7.986,7.79,7.901,838.45272735,55
2024-01-08 16:00:00+00:00,7.91,8.057,7.861,8.057,3292.65100577,43
2024-01-08 20:00:00+00:00,8.039,8.112,7.993,8.107,200.99161485,15
2024-01-09 00:00:00+00:00,8.012,8.02,7.918,8.009,938.89082027,37
2024-01-09 04:00:00+00:00,8.056,8.115,8.056,8.068,136.55757007,10
2024-01-09 08:00:00+00:00,7.998,7.998,7.832,7.929,947.31881533,31
2024-01-09 12:00:00+00:00,7.867,7.87,7.708,7.849,800.07644642,29
2024-01-09 16:00:00+00:00,7.849,7.99,7.788,7.865,3279.71187116,67
2024-01-09 20:00:00+00:00,7.838,8.095,7.258,8.027,10514.25163154,199
2024-01-10 00:00:00+00:00,8.107,8.579,8.107,8.367,4419.56783097,107
2024-01-10 04:00:00+00:00,8.378,8.538,8.347,8.487,1092.68416272,30
2024-01-10 08:00:00+00:00,8.54,8.801,8.494,8.786,1660.87460776,48
2024-01-10 12:00:00+00:00,8.74,8.774,8.239,8.603,7829.80895869,153
2024-01-10 16:00:00+00:00,8.632,8.71,8.496,8.657,6134.88610742,97
2024-01-10 20:00:00+00:00,8.543,9.028,8.51,8.814,12171.24129622,207
