date,open,high,low,close,volume,trades
2024-01-01 00:00:00+00:00,0.4149,0.4149,0.4062,0.4062,13528.37015,25
2024-01-01 04:00:00+00:00,0.4062,0.4085,0.406,0.406,6092.54476,9
2024-01-01 08:00:00+00:00,0.4096,0.4203,0.4042,0.4192,15401.50094,37
2024-01-01 12:00:00+00:00,0.419,0.4229,0.4108,0.4182,20816.19485,42
2024-01-01 16:00:00+00:00,0.417,0.4199,0.4102,0.4141,25941.99627,73
2024-01-01 20:00:00+00:00,0.416,0.4199,0.3983,0.4056,19454.35384,81
2024-01-02 00:00:00+00:00,0.4045,0.4045,0.3953,0.3969,4971.41533,27
2024-01-02 04:00:00+00:00,0.3971,0.4058,0.3971,0.3994,1284.15082,16
2024-01-02 08:00:00+00:00,0.3999,0.4072,0.3928,0.3996,19651.71897,50
2024-01-02 12:00:00+00:00,0.3979,0.3998,0.3944,0.3975,7304.01486,40
2024-01-02 16:00:00+00:00,0.3998,0.407,0.3925,0.3943,41972.85527,55
2024-01-02 20:00:00+00:00,0.3935,0.3969,0.3934,0.3958,618.84052,7
2024-01-03 00:00:00+00:00,0.3925,0.3962,0.3919,0.395,3535.11207,25
2024-01-03 04:00:00+00:00,0.3982,0.3982,0.3877,0.3914,3197.54817,21
2024-01-03 08:00:00+00:00,0.3911,0.396,0.3889,0.396,10206.07082,68
2024-01-03 12:00:00+00:00,0.3885,0.3887,0.3567,0.3623,40107.27524,109
2024-01-03 16:00:00+00:00,0.3641,0.3649,0.3422,0.3422,20819.00039,160
2024-01-03 20:00:00+00:00,0.3458,0.3514,0.3409,0.3514,43131.71416,91
2024-01-04 00:00:00+00:00,0.3507,0.4,0.3507,0.4,17491.73001,62
2024-01-04 04:00:00+00:00,0.4,0.4052,0.3943,0.3982,88311.75616,65
2024-01-04 08:00:00+00:00,0.3979,0.4009,0.3932,0.4009,5767.68986,55
2024-01-04 12:00:00+00:00,0.3998,0.4157,0.3969,0.4143,37716.23967,100
2024-01-04 16:00:00+00:00,0.4112,0.4351,0.411,0.4179,51029.94834,310
