date,open,high,low,close,volume,trades
2024-01-01 00:00:00+00:00,0.073,0.074,0.073,0.074,71789.45371155,100
2024-01-01 04:00:00+00:00,0.073,0.074,0.073,0.074,31695.22569761,80
2024-01-01 08:00:00+00:00,0.074,0.074,0.073,0.073,41539.69502099,89
2024-01-01 12:00:00+00:00,0.074,0.081,0.073,0.078,307072.84721986,291
2024-01-01 16:00:00+00:00,0.078,0.08,0.076,0.08,199041.0107051697,421
2024-01-01 20:00:00+00:00,0.081,0.081,0.073,0.075,481437.34962093,396
2024-01-02 00:00:00+00:00,0.075,0.079,0.073,0.079,436916.3760860111,550
2024-01-02 04:00:00+00:00,0.079,0.079,0.077,0.079,102159.99029313,94
2024-01-02 08:00:00+00:00,0.077,0.079,0.074,0.075,374242.84281553,459
2024-01-02 12:00:00+00:00,0.075,0.076,0.073,0.074,220726.8360396801,333
2024-01-02 16:00:00+00:00,0.075,0.075,0.073,0.074,165172.5224259,240
2024-01-02 20:00:00+00:00,0.074,0.074,0.073,0.073,48734.88042693,101
2024-01-03 00:00:00+00:00,0.074,0.075,0.072,0.075,222437.46957024,182
2024-01-03 04:00:00+00:00,0.075,0.076,0.073,0.074,395784.2825851901,324
2024-01-03 08:00:00+00:00,0.073,0.075,0.072,0.072,318521.1371956101,371
2024-01-03 12:00:00+00:00,0.072,0.073,0.062,0.065,1461457.1075110396,997
2024-01-03 16:00:00+00:00,0.066,0.067,0.064,0.066,375072.82592922,240
2024-01-03 20:00:00+00:00,0.064,0.065,0.064,0.064,202282.4741460599,93
2024-01-04 00:00:00+00:00,0.065,0.066,0.064,0.066,104970.1877674601,124
2024-01-04 04:00:00+00:00,0.065,0.066,0.064,0.064,107572.5152976,148
2024-01-04 08:00:00+00:00,0.064,0.066,0.063,0.063,178000.80314499,196
2024-01-04 12:00:00+00:00,0.063,0.066,0.063,0.066,327699.4433470897,343
2024-01-04 16:00:00+00:00,0.066,0.068,0.065,0.065,268322.5744594599,382
2024-01-04 20:00:00+00:00,0.065,0.066,0.065,0.066,98771.79691762,114
2024-01-05 00:00:00+00:00,0.066,0.066,0.065,0.065,74344.74795386,106
2024-01-05 04:00:00+00:00,0.065,0.066,0.064,0.065,87677.5758663,79
2024-01-05 08:00:00+00:00,0.065,0.069,0.064,0.065,384020.24836979,304
2024-01-05 12:00:00+00:00,0.065,0.066,0.063,0.063,176266.22323463,283
2024-01-05 16:00:00+00:00,0.063,0.064,0.062,0.063,324998.1542875602,252
2024-01-05 20:00:00+00:00,0.063,0.064,0.062,0.063,133911.99479698,123
2024-01-06 00:00:00+00:00,0.064,0.064,0.063,0.064,56032.27047,100
2024-01-06 04:00:00+00:00,0.063,0.064,0.063,0.063,103893.42754,165
2024-01-06 08:00:00+00:00,0.063,0.069,0.063,0.065,634507.4921393602,288
2024-01-06 12:00:00+00:00,0.064,0.067,0.064,0.066,366292.1824514499,257
2024-01-06 16:00:00+00:00,0.065,0.066,0.065,0.066,120362.8322415601,146
2024-01-06 20:00:00+00:00,0.066,0.068,0.065,0.067,198357.0952978498,223
2024-01-07 00:00:00+00:00,0.066,0.068,0.056,0.063,1009596.3940746085,538
2024-01-07 04:00:00+00:00,0.063,0.065,0.063,0.065,133544.80442036,137
2024-01-07 08:00:00+00:00,0.065,0.065,0.064,0.064,70140.47832333,55
2024-01-07 12:00:00+00:00,0.064,0.065,0.063,0.064,297707.65090975,144
2024-01-07 16:00:00+00:00,0.063,0.064,0.063,0.063,81575.28976569,77
2024-01-07 20:00:00+00:00,0.064,0.064,0.061,0.063,295892.2612076099,207
2024-01-08 00:00:00+00:00,0.063,0.063,0.055,0.055,325701.2825570797,314
2024-01-08 04:00:00+00:00,0.056,0.063,0.056,0.06,157981.77195936,184
2024-01-08 08:00:00+00:00,0.059,0.06,0.058,0.06,11234.46090994,20
2024-01-08 12:00:00+00:00,0.06,0.062,0.059,0.062,311001.7554555401,346
2024-01-08 16:00:00+00:00,0.061,0.062,0.06,0.062,325022.29031018,208
2024-01-08 20:00:00+00:00,0.062,0.063,0.061,0.063,315343.0810056903,227
2024-01-09 00:00:00+00:00,0.063,0.063,0.062,0.062,123928.79596786,188
2024-01-09 04:00:00+00:00,0.063,0.063,0.061,0.061,130087.883969,177
2024-01-09 08:00:00+00:00,0.062,0.062,0.061,0.062,176487.5526685601,218
2024-01-09 12:00:00+00:00,0.062,0.062,0.06,0.061,244024.44002996,187
2024-01-09 16:00:00+00:00,0.06,0.061,0.056,0.058,189871.83934269,150
2024-01-09 20:00:00+00:00,0.058,0.06,0.056,0.059,346467.51213142,295
2024-01-10 00:00:00+00:00,0.06,0.06,0.058,0.06,91817.06593013,155
2024-01-10 04:00:00+00:00,0.06,0.064,0.058,0.064,535915.3922169798,465
2024-01-10 08:00:00+00:00,0.064,0.064,0.061,0.061,75472.27339986,133
2024-01-10 12:00:00+00:00,0.062,0.062,0.06,0.062,282370.87916467,263
2024-01-10 16:00:00+00:00,0.062,0.063,0.061,0.062,76650.34278666,106
2024-01-10 20:00:00+00:00,0.062,0.068,0.062,0.066,279877.8790798602,449
2024-01-11 00:00:00+00:00,0.066,0.066,0.064,0.064,98398.54732649,143
2024-01-11 04:00:00+00:00,0.065,0.066,0.063,0.064,198704.9109606,162
2024-01-11 08:00:00+00:00,0.064,0.068,0.064,0.068,472392.4575727695,482
2024-01-11 12:00:00+00:00,0.068,0.074,0.067,0.07,317094.9212373901,349
2024-01-11 16:00:00+00:00,0.069,0.069,0.063,0.068,903438.441543977,514
2024-01-11 20:00:00+00:00,0.068,0.069,0.066,0.067,90472.57260116,177
2024-01-12 00:00:00+00:00,0.068,0.068,0.066,0.066,117080.3916260501,246
2024-01-12 04:00:00+00:00,0.068,0.069,0.066,0.068,82297.6011698899,204
2024-01-12 08:00:00+00:00,0.067,0.068,0.066,0.068,112696.21238986,164
2024-01-12 12:00:00+00:00,0.068,0.069,0.066,0.067,123681.6533973499,207
2024-01-12 16:00:00+00:00,0.067,0.067,0.066,0.066,525098.5181418799,424
2024-01-12 20:00:00+00:00,0.066,0.067,0.061,0.063,374661.6382466002,363
2024-01-13 00:00:00+00:00,0.062,0.065,0.06,0.061,227292.8286796799,272
2024-01-13 04:00:00+00:00,0.061,0.063,0.061,0.063,95812.24891574,150
