date,open,high,low,close,volume,trades
2024-01-01 00:00:00+00:00,0.428,0.43,0.428,0.43,48.41825704,2
2024-01-01 04:00:00+00:00,0.417,0.417,0.416,0.416,784.82224181,2
2024-01-01 08:00:00+00:00,0.414,0.42,0.414,0.42,115.35913537,3
2024-01-01 12:00:00+00:00,0.42,0.43,0.42,0.43,3675.59225309,8
2024-01-01 16:00:00+00:00,0.433,0.442,0.433,0.442,720.26546344,4
2024-01-01 20:00:00+00:00,0.439,0.45,0.438,0.448,19710.06728092,14
2024-01-02 00:00:00+00:00,0.449,0.455,0.449,0.455,7209.70930833,3
2024-01-02 04:00:00+00:00,0.455,0.455,0.452,0.455,7196.56751529,4
2024-01-02 08:00:00+00:00,0.458,0.46,0.456,0.46,5022.31890185,6
2024-01-02 12:00:00+00:00,0.458,0.458,0.44,0.44,9240.30977329,11
2024-01-02 16:00:00+00:00,0.452,0.481,0.452,0.48,75756.9267589501,59
2024-01-02 20:00:00+00:00,0.484,0.489,0.476,0.481,31461.40582255,22
2024-01-03 00:00:00+00:00,0.479,0.479,0.459,0.459,11506.02723511,11
2024-01-03 04:00:00+00:00,0.462,0.499,0.462,0.483,52171.03484066,47
2024-01-03 08:00:00+00:00,0.485,0.531,0.482,0.504,46102.30864622,76
2024-01-03 12:00:00+00:00,0.49,0.55,0.374,0.523,170479.9639214099,249
2024-01-03 16:00:00+00:00,0.532,0.548,0.502,0.534,78782.92239583,135
2024-01-03 20:00:00+00:00,0.536,0.569,0.526,0.53,118988.89297934,178
2024-01-04 00:00:00+00:00,0.532,0.554,0.514,0.554,44416.47343003,61
2024-01-04 04:00:00+00:00,0.553,0.582,0.55,0.552,69554.0988626,80
2024-01-04 08:00:00+00:00,0.567,0.636,0.562,0.592,151477.7329681001,166
2024-01-04 12:00:00+00:00,0.6,0.627,0.585,0.608,161658.2224327101,106
2024-01-04 16:00:00+00:00,0.611,0.618,0.57,0.578,51044.77690082,55
2024-01-04 20:00:00+00:00,0.573,0.58,0.549,0.55,34191.68103675,28
2024-01-05 00:00:00+00:00,0.547,0.572,0.528,0.572,80877.4637365,71
2024-01-05 04:00:00+00:00,0.574,0.582,0.533,0.544,50873.34259195,60
2024-01-05 08:00:00+00:00,0.542,0.545,0.499,0.504,46178.12898955,49
2024-01-05 12:00:00+00:00,0.5,0.507,0.49,0.492,51167.68892398,43
2024-01-05 16:00:00+00:00,0.488,0.5,0.476,0.486,48113.48416079,67
2024-01-05 20:00:00+00:00,0.481,0.495,0.478,0.495,17309.2597663,17
2024-01-06 00:00:00+00:00,0.492,0.492,0.468,0.484,24193.78663654,13
2024-01-06 04:00:00+00:00,0.474,0.477,0.45,0.456,15634.73666854,24
2024-01-06 08:00:00+00:00,0.465,0.465,0.454,0.454,2024.35963915,7
2024-01-06 12:00:00+00:00,0.458,0.485,0.454,0.485,32434.51829333,34
2024-01-06 16:00:00+00:00,0.475,0.475,0.475,0.475,249.63594757,1
2024-01-06 20:00:00+00:00,0.48,0.481,0.476,0.476,6467.02668368,4
2024-01-07 00:00:00+00:00,0.487,0.53,0.487,0.508,41049.58086618,60
2024-01-07 04:00:00+00:00,0.52,0.526,0.501,0.501,15643.75500329,27
