symbol,timestamp,sar_acceleration,sar_maximum,atr_multiplier,adx_threshold,adx_length,ce_high_length,ce_low_length,atr_length,trading_days,total_profit,total_profit_pct,sharpe,sortino,wins,losses,win_rate
BTC,2025-11-08 02:35:50.134138+00:00,0.02,0.2,1.1,0,14,22,1,14,1003,123096.4293825778,12309.64293825778,6.317091095006004,12.77335592785094,216,24,90.0
ETH,2025-11-08 02:42:15.182440+00:00,0.02,0.2,1.0,0,14,22,1,14,1003,616206.2980924053,61620.62980924053,7.332898169567517,14.9561044215997,221,16,93.24894514767934
XRP,2025-11-08 02:43:17.364442+00:00,0.02,0.2,1.1,0,14,22,1,14,1003,4236993.750630181,423699.3750630181,6.104195244695394,11.791532142765709,188,13,93.53233830845772
BNB,2025-11-08 02:45:04.034059+00:00,0.02,0.2,1.1,0,14,22,2,14,160,646.352487624567,64.6352487624567,3.603989654832714,1.6033941446602369,34,6,85.0
SOL,2025-11-08 02:46:40.654777+00:00,0.02,0.2,1.0,0,14,22,1,14,1003,70834558.53832991,7083455.853832992,8.43307135457205,16.454465954966956,242,15,94.1634241245136
TRX,2025-11-08 02:48:13.348734+00:00,0.02,0.2,1.2,0,14,22,1,14,1003,76791.27492294794,7679.127492294793,4.055299634189182,6.517357454876455,201,20,90.9502262443439
DOGE,2025-11-08 02:49:42.287719+00:00,0.02,0.2,1.0,0,14,22,1,14,1003,21503840.221262183,2150384.0221262183,7.773965802538752,14.820002662388337,224,5,97.81659388646288
ADA,2025-11-08 02:51:51.346010+00:00,0.02,0.2,1.0,0,14,22,1,14,1003,12986922.80871994,1298692.280871994,7.365477193876092,16.751492549600098,205,11,94.9074074074074
LINK,2025-11-08 02:53:26.277189+00:00,0.02,0.2,1.0,0,14,22,1,14,1003,16315843.335445438,1631584.3335445437,7.956146514110967,14.700095960003916,249,17,93.60902255639095
BCH,2025-11-08 02:54:25.745599+00:00,0.02,0.2,1.2,0,14,22,1,14,1003,7955317.461633961,795531.7461633962,6.34045127704774,10.973522613114977,209,15,93.30357142857144
BTC,2025-11-08 03:35:50.248278+00:00,0.02,0.2,1.1,0,14,22,1,14,1003,123096.42938257781,12309.64293825778,6.317091095006004,12.773355927850941,216,24,90.0
