train_start,train_end,test_start,test_end,start_capital,end_capital,profit,params
2023-01-01T00:00:00+00:00,2023-06-30T00:00:00+00:00,2023-06-30T00:00:00+00:00,2023-09-28T00:00:00+00:00,10000.0,9134.774690715542,-865.2253092844585,"{'adx_threshold': 33, 'adx_length': 16, 'sar_acceleration': 0.02, 'sar_maximum': 0.1, 'atr_multiplier': 2.0, 'atr_length': 11, 'use_dmp_cross': True}"
2023-04-01T00:00:00+00:00,2023-09-28T00:00:00+00:00,2023-09-28T00:00:00+00:00,2023-12-27T00:00:00+00:00,9134.774690715542,9624.382086859643,489.6073961441016,"{'adx_threshold': 23, 'adx_length': 20, 'sar_acceleration': 0.015, 'sar_maximum': 0.1, 'atr_multiplier': 2.0, 'atr_length': 14, 'use_dmp_cross': True}"
2023-06-30T00:00:00+00:00,2023-12-27T00:00:00+00:00,2023-12-27T00:00:00+00:00,2024-03-26T00:00:00+00:00,9624.382086859643,11910.458371793557,2286.0762849339135,"{'adx_threshold': 34, 'adx_length': 10, 'sar_acceleration': 0.02, 'sar_maximum': 0.2, 'atr_multiplier': 4.0, 'atr_length': 20, 'use_dmp_cross': True}"
2023-09-28T00:00:00+00:00,2024-03-26T00:00:00+00:00,2024-03-26T00:00:00+00:00,2024-06-24T00:00:00+00:00,11910.458371793557,11020.945019339117,-889.5133524544399,"{'adx_threshold': 33, 'adx_length': 14, 'sar_acceleration': 0.02, 'sar_maximum': 0.1, 'atr_multiplier': 2.5, 'atr_length': 13, 'use_dmp_cross': True}"
2023-12-27T00:00:00+00:00,2024-06-24T00:00:00+00:00,2024-06-24T00:00:00+00:00,2024-09-22T00:00:00+00:00,11020.945019339117,10100.462014342756,-920.4830049963603,"{'adx_threshold': 28, 'adx_length': 12, 'sar_acceleration': 0.02, 'sar_maximum': 0.15000000000000002, 'atr_multiplier': 3.0, 'atr_length': 12, 'use_dmp_cross': True}"
2024-03-26T00:00:00+00:00,2024-09-22T00:00:00+00:00,2024-09-22T00:00:00+00:00,2024-12-21T00:00:00+00:00,10100.462014342756,11616.585840034366,1516.1238256916095,"{'adx_threshold': 16, 'adx_length': 12, 'sar_acceleration': 0.04, 'sar_maximum': 0.15000000000000002, 'atr_multiplier': 4.0, 'atr_length': 12, 'use_dmp_cross': False}"
2024-06-24T00:00:00+00:00,2024-12-21T00:00:00+00:00,2024-12-21T00:00:00+00:00,2025-03-21T00:00:00+00:00,11616.585840034366,8858.880364325476,-2757.70547570889,"{'adx_threshold': 16, 'adx_length': 10, 'sar_acceleration': 0.05, 'sar_maximum': 0.1, 'atr_multiplier': 4.0, 'atr_length': 12, 'use_dmp_cross': False}"
2024-09-22T00:00:00+00:00,2025-03-21T00:00:00+00:00,2025-03-21T00:00:00+00:00,2025-06-19T00:00:00+00:00,8858.880364325476,8462.20765820905,-396.6727061164256,"{'adx_threshold': 35, 'adx_length': 20, 'sar_acceleration': 0.02, 'sar_maximum': 0.15000000000000002, 'atr_multiplier': 2.0, 'atr_length': 11, 'use_dmp_cross': True}"
2024-12-21T00:00:00+00:00,2025-06-19T00:00:00+00:00,2025-06-19T00:00:00+00:00,2025-09-17T00:00:00+00:00,8462.20765820905,8915.02304029844,452.81538208938946,"{'adx_threshold': 25, 'adx_length': 17, 'sar_acceleration': 0.015, 'sar_maximum': 0.1, 'atr_multiplier': 3.0, 'atr_length': 20, 'use_dmp_cross': False}"
2025-03-21T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-09-17T00:00:00+00:00,2025-12-16T00:00:00+00:00,8915.02304029844,7769.631075109374,-1145.3919651890656,"{'adx_threshold': 17, 'adx_length': 15, 'sar_acceleration': 0.045000000000000005, 'sar_maximum': 0.2, 'atr_multiplier': 3.5, 'atr_length': 20, 'use_dmp_cross': True}"
